Sr. No.,Crime Head,Incidence - 1996,Rate of Crime - 1996,Incidence - 2001,Rate of Crime - 2001,Incidence - 2002,Rate of Crime - 2002,Incidence - 2003,Rate of Crime - 2003,Incidence - 2004,Rate of Crime - 2004,Incidence - 2005,Rate of Crime - 2005,Incidence - QUINQUENNIAL AVG.2001-2005 (Q.A),Rate of Crime - QUINQUENNIAL AVG.2001-2005 (Q.A),Incidence - 2006,Rate of Crime - 2006,Percentage Change in 2006[(+) Increase/(-) Decrease] Over - 1996,Percentage Change in 2006[(+) Increase/(-) Decrease] Over - Q.A,Percentage Change in 2006[(+) Increase/(-) Decrease] Over - 2005,Note of Incidence - 1996
1,"Murder (Sec..302, 303 IPC)",37671,4,36202,3.5,35290,3.4,32716,3.1,33608,3.1,32719,3,34107,3.2,32481,2.9,-13.8,-4.8,-0.7,NA
2,Attempt to Commit Murder (Sec.. 307 IPC),29597,3.2,31523,3.1,30380,2.9,25942,2.4,27890,2.6,28031,2.5,28753,2.7,27230,2.4,-8,-5.3,-2.9,NA
3,"C.H. not Amounting Murder (Sec.. 304, 308 IPC)",3728,0.4,3367,0.3,3624,0.3,4029,0.4,3935,0.4,3578,0.3,3707,0.3,3535,0.3,-5.2,-4.6,-1.2,NA
4,Rape (Sec.. 376 IPC) - Total,14846,1.6,16075,1.6,16373,1.6,15847,1.5,18233,1.7,18359,1.7,16977,1.6,19348,1.7,30.3,14,5.4,NA
5,Rape (Sec.. 376 IPC) - Custodial Rape,NA,NA,0,0,3,0,0,0,2,0,7,0,2,0,2,0,NA,-16.7,-71.4,*
6,Rape (Sec.. 376 IPC) - Other Rape,NA,NA,16075,1.6,16370,1.6,15847,1.5,18231,1.7,18352,1.7,16975,1.6,19346,1.7,NA,14,5.4,*
7,"KidnApping & Abduction (Sec.. 363-369, 371-373 IPC) - Total",20848,2.2,22487,2.2,21850,2.1,19992,1.9,23327,2.1,22832,2.1,22098,2.1,23991,2.1,15.1,8.6,5.1,NA
7,"KidnApping & Abduction (Sec.. 363-369, 371-373 IPC) - I) of Women & Girls",14877,1.6,14645,1.4,14506,1.4,13296,1.2,15578,1.4,15750,1.4,14755,1.4,17414,1.6,17.1,18,10.6,NA
7,"KidnApping & Abduction (Sec.. 363-369, 371-373 IPC) - Ii) of Others",5971,0.6,7842,0.8,7344,0.7,6696,0.6,7749,0.7,7082,0.6,7343,0.7,6577,0.6,10.1,-10.4,-7.1,NA
8,Dacoity (Sec.. 395-398 IPC),8035,0.9,6154,0.6,6101,0.6,5303,0.5,5311,0.5,5141,0.5,5602,0.5,4747,0.4,-40.9,-15.3,-7.7,NA
9,Preparation & Assembly for DAcoity (Sec.. 399-402 IPC),888,0.1,1614,0.2,1841,0.2,2302,0.2,2340,0.2,2834,0.3,2186,0.2,3129,0.3,252.4,43.1,10.4,NA
10,"Robbery (Sec.. 392-394,397,398 IPC)",22705,2.4,19901,1.9,18764,1.8,17512,1.6,18458,1.7,17673,1.6,18462,1.7,18456,1.6,-18.7,0,4.4,NA
11,"Burglary (Sec.. 449-452,454,455,457-460 IPC)",115097,12.4,101182,9.9,96461,9.2,92827,8.7,92490,8.5,90108,8.2,94614,8.9,91666,8.2,-20.4,-3.1,1.7,NA
12,Theft (Sec.. 379-382 IPC) - Total,284985,30.6,252803,24.6,247462,23.6,245237,23,273045,25.2,273111,24.8,258332,24.2,274354,24.5,-3.7,6.2,0.5,NA
12,Theft (Sec.. 379-382 IPC) - I) Auto Theft,NA,NA,63713,6.2,66668,6.3,69307,6.5,80682,7.4,85709,7.8,73216,6.8,90951,8.1,NA,24.2,6.1,*
12,Theft (Sec.. 379-382 IPC) - Ii) Other Theft,NA,NA,189090,18.4,180794,17.2,175930,16.5,192363,17.7,187402,17,185116,17.4,183403,16.4,NA,-0.9,-2.1,*
13,"Riots (Sec.. 143-145,147-151,153,153A,153b,157,158,160 IPC)",92831,10,76222,7.4,68945,6.6,57334,5.4,59971,5.5,56235,5.1,63741,6,56641,5.1,-39,-11.1,0.7,NA
