Sr. No.,Category,States/UTs,Incidence,Percentage Contribution to All-India Total,Estimated Mid Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,3891,14.4,807.24,4.8,3,4
2,State,Arunachal Pradesh,0,0,11.74,0,NA,NA
3,State,Assam,282,1,291.62,1,17,15
4,State,Bihar,2043,7.5,913.3,2.2,7,5
5,State,Chhattisgarh,444,1.6,229.9,1.9,8,11
6,State,Goa,4,0,15.51,0.3,24,24
7,State,Gujarat,995,3.7,550.8,1.8,9,9
8,State,Haryana,283,1,231.63,1.2,13,14
9,State,Himachal Pradesh,92,0.3,64.46,1.4,11,17
10,State,Jammu & Kashmir,2,0,117.25,0,28,28
11,State,Jharkhand,333,1.2,293.14,1.1,14,13
12,State,Karnataka,1730,6.4,563.49,3.1,4,6
13,State,Kerala,364,1.3,336.79,1.1,15,12
14,State,Madhya Pradesh,4214,15.6,672.13,6.3,1,2
15,State,Maharashtra,1053,3.9,1045.7,1,16,8
16,State,Manipur,0,0,25.72,0,NA,NA
17,State,Meghalaya,0,0,24.83,0,NA,NA
18,State,Mizoram,0,0,9.59,0,NA,NA
19,State,Nagaland,5,0,21.41,0.2,25,23
20,State,Orissa,1153,4.3,391.96,2.9,5,7
21,State,Punjab,184,0.7,260.8,0.7,20,16
22,State,Rajasthan,3910,14.4,628.02,6.2,2,3
23,State,Sikkim,2,0,5.81,0.3,23,27
24,State,Tamil Nadu,991,3.7,654.52,1.5,10,10
25,State,Tripura,14,0.1,34.36,0.4,22,21
26,State,Uttar Pradesh,4960,18.3,1850.21,2.7,6,1
27,State,Uttaranchal,68,0.3,92.62,0.7,19,18
28,State,West Bengal,13,0,861.3,0,29,22
State,State,Total (States),27030,99.9,11005.85,2.5,NA,NA
29,Union Territory,A & N Islands,0,0,3.96,0,NA,NA
30,Union Territory,Chandigarh,2,0,10.21,0.2,26,26
31,Union Territory,D & N Haveli,2,0,2.5,0.8,18,25
32,Union Territory,Daman & Diu,1,0,1.8,0.6,21,29
33,Union Territory,Delhi,21,0.1,162.29,0.1,27,19
34,Union Territory,Lakshadweep,0,0,0.67,0,NA,NA
35,Union Territory,Pondicherry,14,0.1,10.47,1.3,12,20
Union Territory,Union Territory,Total (UTs),40,0.1,191.9,0.2,NA,NA
Total (All-India),Total (All-India),Total (All-India),27070,100,11197.75,2.4,NA,NA
