Sr. No.,Category,States/ UTs,2004,2005,2006,Percentage Variation in 2005 over 2004,Percentage Variation in 2006 over 2005
1,State,Andhra Pradesh,53,20,6,-62.3,-70
2,State,Arunachal Pradesh,0,0,0,NA,0
3,State,Assam,0,5,16,NA,220
4,State,Bihar,35,16,15,-54.3,-6.3
5,State,Chhattisgarh,2288,2,5,-99.9,150
6,State,Goa,0,0,0,NA,0
7,State,Gujarat,3632,4,2,-99.9,-50
8,State,Haryana,546,8,11,-98.5,37.5
9,State,Himachal Pradesh,0,0,0,NA,0
10,State,Jammu & Kashmir,0,0,0,NA,0
11,State,Jharkhand,3,0,2,-100,@
12,State,Karnataka,8,7,2,-12.5,-71.4
13,State,Kerala,9,6,4,-33.3,-33.3
14,State,Madhya Pradesh,5692,8,7,-99.9,-12.5
15,State,Maharashtra,681,23,23,-96.6,0
16,State,Manipur,0,0,0,NA,0
17,State,Meghalaya,0,0,0,NA,0
18,State,Mizoram,0,0,0,NA,0
19,State,Nagaland,0,0,0,NA,0
20,State,Orissa,0,1,2,NA,100
21,State,Punjab,87,15,9,-82.8,-40
22,State,Rajasthan,1031,5,8,-99.5,60
23,State,Sikkim,0,0,0,NA,0
24,State,Tamil Nadu,40,26,25,-35,-3.8
25,State,Tripura,0,0,0,NA,0
26,State,Uttar Pradesh,7292,42,32,-99.4,-23.8
27,State,Uttarakhand,37,30,15,-18.9,-50
28,State,West Bengal,5,5,5,0,0
State,State,Total (States),21439,223,189,-99,-15.2
29,Union Territory,A & N Islands,0,0,0,NA,0
30,Union Territory,Chandigarh,0,0,0,NA,0
31,Union Territory,D & N Haveli,0,0,0,NA,0
32,Union Territory,Daman & Diu,0,0,0,NA,0
33,Union Territory,Delhi,5,1,0,-80,-100
34,Union Territory,Lakshadweep,0,0,0,NA,0
35,Union Territory,Puducherry,0,0,0,NA,0
Union Territory,Union Territory,Total (UTs),5,1,0,-80,-100
Total (All-India),Total (All-India),Total (All-India),21444,224,189,-99,-15.6
