Sr. No.,Category,States/ UTs,Number of Deaths in Police Custody - during Hospitalisation/ Treatment,Number of Deaths in Police Custody - Due to Accidents,Number of Deaths in Police Custody - by Mob Attack/ Riot,Number of Deaths in Police Custody - by Other Criminals,Number of Deaths in Police Custody - by Suicide,Number of Deaths in Police Custody - while Escaping from Custody,Number of Deaths in Police Custody - Illness/ Natural Death
1,State,Andhra Pradesh,0,0,0,0,6,3,19
2,State,Arunachal Pradesh,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0
4,State,Bihar,0,0,0,0,0,0,0
5,State,Chhattisgarh,1,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0,0
7,State,Gujarat,3,0,0,0,1,3,1
8,State,Haryana,0,0,0,0,1,0,0
9,State,Himachal Pradesh,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0
12,State,Karnataka,0,0,0,0,2,0,0
13,State,Kerala,0,0,0,0,0,0,1
14,State,Madhya Pradesh,0,0,0,0,1,0,1
15,State,Maharashtra,4,1,2,0,8,0,3
16,State,Manipur,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0
20,State,Orissa,0,0,0,0,0,0,0
21,State,Punjab,0,0,0,0,0,0,1
22,State,Rajasthan,3,0,0,0,0,1,0
23,State,Sikkim,0,0,0,0,0,0,0
24,State,Tamil Nadu,3,0,0,0,3,0,0
25,State,Tripura,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,1,1,0,2,0,2
27,State,Uttarakhand,0,0,0,0,0,0,1
28,State,West Bengal,4,0,0,0,0,0,0
State,State,Total (States),18,2,3,0,24,7,29
29,Union Territory,A & N Islands,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),Total (All-India),18,2,3,0,24,7,29
