State/ UTs,City-Wise,Murder (Sec.302 &303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Andhra Pradesh,Cyberabad,193,92,11,60,0,60,166,90,76,13,1,86,1321,2339,642,1697,49,156,1275,6,43,3871,50,132,93,837,0,1064,2368,14226
Andhra Pradesh,Hyderabad,125,116,6,93,0,93,143,77,66,12,0,99,1186,4408,1691,2717,128,84,1777,13,26,4581,29,189,108,1160,0,582,2430,17295
Andhra Pradesh,Vijayawada,43,50,6,21,1,20,86,60,26,3,0,34,392,1495,424,1071,11,58,410,12,10,1619,8,135,158,336,0,246,729,5862
Andhra Pradesh,Vishakhapatnam,37,30,1,21,0,21,49,40,9,3,1,27,417,1121,356,765,28,66,261,27,8,540,10,62,30,397,0,247,2095,5478
Assam,Guwahati,60,43,4,33,0,33,151,108,43,10,0,130,461,1822,786,1036,169,75,200,13,37,374,6,180,0,150,0,214,860,4992
Bihar,Patna,206,46,63,25,0,25,225,54,171,48,9,471,531,1178,888,290,187,3,225,6,3,32,34,9,2,165,0,219,4745,8432
Chhattisgarh,Durg,24,24,1,26,0,26,15,10,5,1,0,26,217,450,155,295,20,14,38,1,5,331,10,79,11,16,0,95,1821,3225
Chhattisgarh,Raipur,37,30,1,31,0,31,35,28,7,3,0,29,367,826,410,416,46,31,72,7,18,579,7,61,17,52,0,107,1706,4062
Delhi UT,Delhi (city),396,448,66,533,0,533,1272,953,319,12,169,480,1767,16524,8851,7673,81,414,2198,42,29,1640,120,629,129,1646,0,328,24084,53007
Gujarat,Ahmedabad,99,60,7,46,0,46,182,146,36,23,3,172,802,5388,2317,3071,128,266,297,10,5,1371,4,72,22,956,0,227,9098,19238
Gujarat,Bhavnagar,13,12,0,5,0,5,40,33,7,19,0,94,186,754,232,522,64,62,93,13,4,16,0,25,29,133,0,1,2068,3631
Gujarat,Rajkot,29,15,0,4,0,4,26,18,8,1,0,26,260,718,424,294,46,12,39,18,3,369,1,5,12,165,0,94,1646,3489
Gujarat,Surat,103,30,1,31,0,31,130,86,44,15,2,72,500,2206,1457,749,145,55,258,24,10,759,22,46,6,249,0,336,3659,8659
Gujarat,Vadodara,32,34,2,6,0,6,54,42,12,8,0,35,482,1319,678,641,147,30,199,14,31,316,0,17,2,181,0,134,2629,5672
Haryana,Faridabad,58,45,7,40,0,40,86,66,20,7,30,36,369,1241,902,339,138,106,45,2,11,244,14,35,144,146,0,12,1866,4682
