SL. No. ,Category, State/UT/City                             ,Incidence,Percentage  Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate**,Rank @,Rank*
1,State,Andhra Pradesh ,398,6.9,717.1,0.6,16,6
2,State,Arunachal Pradesh ,3,0.1,9.6,0.3,23,27
3,State,Assam,167,2.9,246.1,0.7,13,10
4,State,Bihar,459,8,949.1,0.5,17,5
5,State,Goa,20,0.3,12.7,1.6,3,18
6,State,Gujarat,327,5.7,446.1,0.7,9,7
7,State,Haryana,131,2.3,180.7,0.7,10,11
8,State,Himachal Pradesh,76,1.3,56.1,1.4,4,15
9,State,Jammu & Kashmir,13,0.2,85.1,0.2,28,20
10,State,Karnataka ,101,1.8,480.5,0.2,25,14
11,State,Kerala,117,2,309.1,0.4,20,13
12,State,Madhya Pradesh,1164,20.2,721.4,1.6,2,1
13,State,Maharashtra,1002,17.4,859.1,1.2,5,2
14,State,Manipur,4,0.1,20.3,0.2,27,25
15,State,Meghalaya,8,0.1,19.6,0.4,18,21
16,State,Mizoram,7,0.1,7.9,0.9,8,23
17,State,Nagaland,0,0,13.9,0,NA,NA
18,State,Orissa,119,2.1,342.7,0.3,22,12
19,State,Punjab,45,0.8,216,0.2,26,17
20,State,Rajasthan,174,3,482.1,0.4,21,9
21,State,Sikkim ,3,0.1,4.7,0.6,14,27
22,State,Tamil Nadu,63,1.1,582.9,0.1,29,16
23,State,Tripura,18,0.3,30.5,0.6,15,19
24,State,Uttar Pradesh,590,10.3,1501.2,0.4,19,3
25,State,West Bengal ,522,9.1,732.7,0.7,11,4
Total (States),State,Total (States),5531,96.2,9027.2,0.6,NA,NA
26,UT,A & N Islands,1,0,3.3,0.3,24,29
27,UT,Chandigarh,7,0.1,7.8,0.9,7,23
28,UT,D & N Haveli,0,0,1.6,0,NA,NA
29,UT,Daman & Diu,1,0,1.1,0.9,6,29
30,UT,Delhi,203,3.5,109.7,1.9,1,8
31,UT,Lakshadweep,0,0,0.6,0,NA,NA
32,UT,Pondicherry,6,0.1,8.8,0.7,12,24
Total (UTs),UT,Total (UTs),218,3.8,132.9,1.6,NA,NA
Total (All-India),Total (All-India),Total (All-India),5749,100,9160.1,0.6,NA,NA
