SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7),Conviction Rate (Col. 8)
1,Arms Act,0.1,12.6,8.6,21.2,78.6,59.6
2,Narcotic Drugs & Psychotropic Substances Act,0.2,8.1,8.5,16.6,83.2,48.8
3,Gambling Act ,0.3,31.5,6.5,37.9,61.8,82.9
4,Excise Act,0.4,23.3,8,31.3,68.3,74.3
5,Prohibition Act,1,18.9,8.5,27.4,71.6,69.1
6,Explosive & Explosive Substances Act,0.2,7.4,8,15.4,84.4,48.2
7,Immoral Traffic (Prevention) Act,0.6,53.5,6.2,59.6,39.8,89.7
8,Indian Railways Act,0.1,59.8,2.1,61.9,38,96.7
9,Registration of Foreigners Act,0.3,29.8,7,36.8,62.9,81
10,Protection Of Civil Rights Act,1.7,7.6,13.8,21.4,76.9,35.5
11,Indian Passport Act,1,39.3,16.9,56.3,42.8,69.9
12,Essential Commodities Act,3,4.6,7.5,12.1,84.9,38.1
13,Terrorist & Disruptive Actvites Act,0.4,1.6,3.7,5.4,94.2,30.3
14,Antiquity & Art Treasure Act,7.6,7.6,20.3,27.8,64.6,27.3
15,Dowry Prohibition Act,3.3,6.9,12.1,19,77.7,36.4
16,Child Marriage Restraint Act,2.9,0,2.9,2.9,94.3,0
17,Indecent Representation of Women (P)Act,0,51,1,52.1,47.9,98
18,Copy Right Act,0,2.1,5,7.1,92.9,29.4
19,Sati Prevention Act,0,0,0,0,100,0
20,SC/ST (Prevention of Atrocities ) Act,1.6,4.9,7.6,12.5,85.9,39.2
21,Forest Act,0.2,10.9,6.8,17.6,82.2,61.6
22,Other SLL Crimes ,7.3,64.5,6.9,71.4,21.3,90.4
23,Total Cognizable Crimes Under SLL,4.3,44.7,7.4,52.2,43.5,85.8
