SL. No. ,Category, State/UT/City                             ,Incidence,Percentage  Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate**,Rank @,Rank*
1,State,Andhra Pradesh ,1764,5.3,717.1,2.5,7,4
2,State,Arunachal Pradesh ,0,0,9.6,0,NA,NA
3,State,Assam,0,0,246.1,0,NA,NA
4,State,Bihar,747,2.3,949.1,0.8,15,9
5,State,Goa,4,0,12.7,0.3,17,19
6,State,Gujarat,1724,5.2,446.1,3.9,5,5
7,State,Haryana,82,0.2,180.7,0.5,16,13
8,State,Himachal Pradesh,82,0.2,56.1,1.5,13,13
9,State,Jammu & Kashmir,25,0.1,85.1,0.3,18,15
10,State,Karnataka ,1171,3.5,480.5,2.4,8,8
11,State,Kerala,696,2.1,309.1,2.3,9,10
12,State,Madhya Pradesh,3979,12.1,721.4,5.5,4,3
13,State,Maharashtra,1622,4.9,859.1,1.9,11,6
14,State,Manipur,1,0,20.3,0,21,22
15,State,Meghalaya,2,0,19.6,0.1,19,21
16,State,Mizoram,0,0,7.9,0,NA,NA
17,State,Nagaland,0,0,13.9,0,NA,NA
18,State,Orissa,329,1,342.7,1,14,11
19,State,Punjab,8,0,216,0,22,17
20,State,Rajasthan,5197,15.8,482.1,10.8,1,2
21,State,Sikkim ,33,0.1,4.7,7,3,14
22,State,Tamil Nadu,1293,3.9,582.9,2.2,10,7
23,State,Tripura,0,0,30.5,0,NA,NA
24,State,Uttar Pradesh,14205,43.1,1501.2,9.5,2,1
25,State,West Bengal ,0,0,732.7,0,NA,NA
Total (States),State,Total (States),32964,99.9,9027.2,3.7,NA,NA
26,UT,A & N Islands,0,0,3.3,0,NA,NA
27,UT,Chandigarh,0,0,7.8,0,NA,NA
28,UT,D & N Haveli,0,0,1.6,0,NA,NA
29,UT,Daman & Diu,2,0,1.1,1.8,12,21
30,UT,Delhi,6,0,109.7,0.1,20,18
31,UT,Lakshadweep,0,0,0.6,0,NA,NA
32,UT,Pondicherry,24,0.1,8.8,2.7,6,16
Total (UTs),UT,Total (UTs),32,0.1,132.9,0.2,NA,NA
Total (All-India),Total (All-India),Total (All-India),32996,100,9160.1,3.6,NA,NA
