SI.No.,Category, State/UT/City,Murder - Incidence (I),Murder - Rate (R),Attemp to Commit Murder - Incidence (I),Attempt to Commit Murder - Rate (R),C.H.Not Amounting To Murder - Incidence (I),C.H. Not Amounting to Murder - Rate (R),Rape - Incidence (I),Rape - Rate (R),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Rate (R),Kidnapping & Abduction - of Women & Girls - Incidence (I),Kidnapping & Abduction - of Women & Girls - Rate (R), Kidnapping & Abduction - of Others - Incidence (I),of Others - Rate (R),Dacoity - Incidence (I),Dacoity - Rate (R),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Rate (R),Robbery - Incidence (I),Robbery - Rate (R),Burglary - Incidence (I),Burglary - Rate (R),Theft - Incidence (I),Theft - Rate (R),Riots - Incidence (I),Riots - Rate (R),Crimnal Breach of trust - Incidence (I),Crimnal Breach of trust - Rate (R),Cheating - Incidence (I),Cheating - Rate (R),Counterfeiting - Incidence (I),Counterfeiting - Rate (R),Arson - Incidence (I),Arson - Rate (R),Hurt/Grievous Hurt - Incidence (I),Hurt/Grievous Hurt - Rate (R),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Molestation - Incidence (I),Molestation - Rate (R),Sexual Harassment - Incidence (I),Sexual Harassment - Rate (R),Cruelty By Husband or Relatives - Incidence (I),Cruelty By Husband or Relatives - Rate (R),Other IPC Crimes - Incidence (I),Other IPC Crimes - Rate (R),Total Cognizable IPC Crimes - Incidence (I),Total Cognizable IPC Crimes - Rate (R)
1,State,Andhra Pradesh ,2472,3.4,1316,1.8,94,0.1,856,1.2,1064,1.5,676,0.9,388,0.5,555,0.8,10,0,854,1.2,6454,9,15055,21,4690,6.5,571,0.8,2330,3.2,136,0.2,1450,2,21139,29.5,362,0.5,2677,3.7,769,1.1,2829,3.9,39333,54.9,105016,146.4
2,State,Arunachal Pradesh ,72,7.5,27,2.8,2,0.2,25,2.6,47,4.9,31,3.2,16,1.7,37,3.9,0,0,50,5.2,131,13.6,313,32.6,21,2.2,26,2.7,22,2.3,2,0.2,7,0.7,101,10.5,0,0,11,1.1,0,0,1,0.1,1012,105.4,1907,198.6
3,State,Assam,1273,5.2,324,1.3,28,0.1,588,2.4,1293,5.3,1119,4.5,174,0.7,774,3.1,16,0.1,1076,4.4,3474,14.1,7358,29.9,4122,16.7,436,1.8,536,2.2,30,0.1,508,2.1,3796,15.4,44,0.2,572,2.3,15,0.1,485,2,9746,39.6,36494,148.3
4,State,Bihar,5050,5.3,4597,4.8,622,0.7,1312,1.4,2070,2.2,832,0.9,1238,1.3,2566,2.7,203,0.2,2678,2.8,6728,7.1,17244,18.2,12368,13,1440,1.5,1572,1.7,54,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57094,60.2,115598,121.8
5,State,Goa,36,2.8,4,0.3,3,0.2,19,1.5,21,1.7,14,1.1,7,0.6,4,0.3,0,0,23,1.8,615,48.4,1119,88.1,224,17.6,40,3.1,55,4.3,12,0.9,48,3.8,257,20.2,2,0.2,27,2.1,6,0.5,13,1,1017,80.1,3545,279.1
6,State,Gujarat,1432,3.2,767,1.7,19,0,309,0.7,1120,2.5,974,2.2,146,0.3,309,0.7,4,0,1112,2.5,6437,14.4,19942,44.7,2266,5.1,2541,5.7,3114,7,166,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83976,188.2,123514,276.9
7,State,Haryana,716,4,394,2.2,133,0.7,311,1.7,433,2.4,297,1.6,136,0.8,71,0.4,21,0.1,266,1.5,3069,17,4708,26.1,635,3.5,305,1.7,718,4,54,0.3,229,1.3,6464,35.8,218,1.2,483,2.7,296,1.6,426,2.4,13873,76.8,33823,187.2
8,State,Himachal Pradesh,127,2.3,83,1.5,7,0.1,116,2.1,162,2.9,125,2.2,37,0.7,2,0,0,0,20,0.4,1047,18.7,916,16.3,568,10.1,115,2,151,2.7,6,0.1,160,2.9,1431,25.5,6,0.1,296,5.3,14,0.2,219,3.9,5701,101.6,11147,198.7
9,State,Jammu & Kashmir,796,9.4,601,7.1,22,0.3,109,1.3,354,4.2,287,3.4,67,0.8,47,0.6,0,0,160,1.9,1753,20.6,2229,26.2,612,7.2,87,1,153,1.8,1,0,772,9.1,353,4.1,5,0.1,235,2.8,140,1.6,35,0.4,6554,77,15018,176.5
10,State,Karnataka ,1747,3.6,1245,2.6,47,0.1,263,0.5,595,1.2,301,0.6,294,0.6,304,0.6,7,0,1081,2.2,10235,21.3,19053,39.7,9595,20,621,1.3,1973,4.1,76,0.2,520,1.1,21974,45.7,202,0.4,1356,2.8,192,0.4,1488,3.1,47760,99.4,120334,250.4
11,State,Kerala,490,1.6,484,1.6,33,0.1,266,0.9,159,0.5,110,0.4,49,0.2,97,0.3,16,0.1,239,0.8,4414,14.3,3275,10.6,6747,21.8,303,1,1724,5.6,83,0.3,551,1.8,17268,55.9,21,0.1,810,2.6,14,0,787,2.5,49481,160.1,87262,282.3
12,State,Madhya Pradesh,3416,4.7,3289,4.6,287,0.4,3119,4.3,1142,1.6,1028,1.4,114,0.2,160,0.2,90,0.1,1894,2.6,18073,25.1,30607,42.4,3918,5.4,731,1,1543,2.1,89,0.1,1324,1.8,30637,42.5,417,0.6,7355,10.2,765,1.1,2640,3.7,85949,119.1,197445,273.7
13,State,Maharashtra,2900,3.4,1336,1.6,125,0.1,1362,1.6,1163,1.4,782,0.9,381,0.4,698,0.8,101,0.1,3130,3.6,16304,19,49323,57.4,6183,7.2,1928,2.2,3282,3.8,162,0.2,1314,1.5,33930,39.5,471,0.5,3475,4,808,0.9,8760,10.2,57408,66.8,194163,226
14,State,Manipur,257,12.7,125,6.2,6,0.3,12,0.6,108,5.3,64,3.2,44,2.2,26,1.3,0,0,30,1.5,111,5.5,321,15.8,46,2.3,29,1.4,49,2.4,11,0.5,68,3.3,251,12.4,0,0,24,1.2,0,0,0,0,1122,55.3,2596,127.9
15,State,Meghalaya,128,6.5,16,0.8,4,0.2,17,0.9,22,1.1,8,0.4,14,0.7,84,4.3,3,0.2,79,4,157,8,451,23,55,2.8,17,0.9,29,1.5,8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,35.9,1773,90.5
16,State,Mizoram,37,4.7,32,4.1,5,0.6,41,5.2,9,1.1,0,0,9,1.1,9,1.1,2,0.3,18,2.3,324,41,864,109.4,0,0,29,3.7,76,9.6,12,1.5,34,4.3,88,11.1,0,0,59,7.5,0,0,0,0,757,95.8,2396,303.3
17,State,Nagaland,155,11.2,43,3.1,9,0.6,16,1.2,35,2.5,11,0.8,24,1.7,37,2.7,0,0,102,7.3,243,17.5,278,20,6,0.4,24,1.7,24,1.7,3,0.2,0,0,27,1.9,0,0,0,0,0,0,0,0,393,28.3,1395,100.4
18,State,Orissa,917,2.7,1212,3.5,99,0.3,553,1.6,463,1.4,463,1.4,0,0,284,0.8,0,0,965,2.8,4477,13.1,8100,23.6,1947,5.7,344,1,461,1.3,20,0.1,593,1.7,3350,9.8,196,0.6,1446,4.2,109,0.3,554,1.6,24905,72.7,50995,148.8
19,State,Punjab,679,3.1,322,1.5,75,0.3,96,0.4,233,1.1,140,0.6,93,0.4,12,0.1,14,0.1,47,0.2,1017,4.7,1374,6.4,6,0,155,0.7,570,2.6,9,0,41,0.2,2114,9.8,130,0.6,73,0.3,8,0,133,0.6,4037,18.7,11145,51.6
20,State,Rajasthan,1386,2.9,1988,4.1,97,0.2,1036,2.1,2822,5.9,2579,5.3,243,0.5,88,0.2,6,0,1150,2.4,8340,17.3,16139,33.5,20386,42.3,889,1.8,4972,10.3,411,0.9,1117,2.3,12872,26.7,369,0.8,2121,4.4,65,0.1,3202,6.6,68810,142.7,148266,307.5
21,State,Sikkim ,12,2.6,9,1.9,1,0.2,3,0.6,14,3,4,0.9,10,2.1,3,0.6,0,0,5,1.1,89,18.9,125,26.6,26,5.5,9,1.9,25,5.3,1,0.2,4,0.9,95,20.2,0,0,37,7.9,0,0,0,0,175,37.2,633,134.7
22,State,Tamil Nadu,1959,3.4,1599,2.7,17,0,268,0.5,815,1.4,661,1.1,154,0.3,134,0.2,1,0,529,0.9,5998,10.3,18906,32.4,7423,12.7,504,0.9,1204,2.1,534,0.9,1327,2.3,19559,33.6,94,0.2,1212,2.1,1078,1.8,345,0.6,63255,108.5,126761,217.5
23,State,Tripura,251,8.2,62,2,0,0,75,2.5,194,6.4,40,1.3,154,5,183,6,5,0.2,144,4.7,375,12.3,576,18.9,246,8.1,14,0.5,23,0.8,3,0.1,111,3.6,614,20.1,7,0.2,80,2.6,1,0,57,1.9,710,23.3,3731,122.3
24,State,Uttar Pradesh,8784,5.9,8523,5.7,1383,0.9,1808,1.2,3842,2.6,2337,1.6,1505,1,1327,0.9,190,0.1,5348,3.6,13383,8.9,36209,24.1,7918,5.3,3142,2.1,3167,2.1,193,0.1,1643,1.1,20100,13.4,1850,1.2,2631,1.8,154,0.1,3165,2.1,53232,35.5,177992,118.6
25,State,West Bengal ,1788,2.4,535,0.7,620,0.8,787,1.1,934,1.3,811,1.1,123,0.2,481,0.7,250,0.3,861,1.2,826,1.1,21099,28.8,6111,8.3,484,0.7,1161,1.6,58,0.1,105,0.1,4396,6,89,0.1,1314,1.8,26,0,3319,4.5,24169,33,69413,94.7
