SI.No.,Crime Head,1991,1992,1993,1994,1995
1,Murder,2.3,2.4,2.3,2.4,2.2
2,Attempt to Commit Murder,1.8,1.8,1.8,1.8,1.7
3,C.H. Not Amounting To Murder,0.3,0.3,0.2,0.2,0.2
4,Rape,0.6,0.7,0.7,0.8,0.8
5,Kidnapping & Abduction,1.2,1.2,1.2,1.3,1.2
5,I)Of Woman & Girls,0.9,0.8,0.9,0.9,0.8
5,II)Of Others,0.3,0.4,0.4,0.4,0.4
6,Dacoity,0.6,0.7,0.6,0.6,0.5
7,Preparation & Assembly for Dacoity,0.1,0.1,0.1,0.1,0.1
8,Robbery,1.6,1.6,1.5,1.5,1.3
9,Burglary,7.9,7.5,7.5,7.4,6.9
10,Theft,21.6,20.8,19.7,18.6,17.4
11,Riots,6.3,6.2,5.8,5.8,5.7
12,Criminal Breach of Trust,1,1.1,1,1,0.9
13,Cheating,1.6,1.7,1.8,1.9,1.8
14,Counterfeiting,0.3,0.3,0.2,0.2,0.1
15,Arson,*,*,*,*,0.7
16,Hurt/Grievous Hurt,*,*,*,*,12
17,Dowry Deaths,*,*,*,*,0.3
18,Molestation,*,*,*,*,1.6
19,Sexual Harassment,*,*,*,*,0.3
20,Cruelty by Husband and Relatives,*,*,*,*,1.7
21,Other IPC Crimes,52.8,53.7,55.4,56.5,42.6
22,Total Cognizable Crimes Under IPC,100,100,100,100,100
