SL. No.,Crime Head,Total No. Persons Under Arrested* Including those from Previous Year,Persons Released Before Trial - Number ,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the Year - Number,Persons Under Investigation at the End of the Year - Percentage to Total
1,Arms Act,76696,2755,3.6,63925,83.3,10016,13.1
2,Narcotic Drugs & Psychotropic Substances Act,34104,1209,3.5,21668,63.5,11227,32.9
3,Gambling Act ,296503,1086,0.4,286090,96.5,9327,3.1
4,Excise Act,143299,5875,4.1,112471,78.5,24953,17.4
5,Prohibition Act,741444,7217,1,652639,88,81588,11
6,Explosive & Explosive Substances Act,9466,428,4.5,5399,57,3639,38.4
7,Immoral Traffic (P) Act,12426,89,0.7,11802,95,535,4.3
8,Indian Railways Act,38456,403,1,36785,95.7,1268,3.3
9,Registration of Foreigners Act,2984,228,7.6,2053,68.8,703,23.6
10,Protection Of Civil Rights Act,9145,549,6,7196,78.7,1400,15.3
11,Indian Passport Act,1788,85,4.8,1490,83.3,213,11.9
12,Essential Commodities Act,9006,706,7.8,5057,56.2,3243,36
13,Terrorist & Disruptive Actvites Act,7494,1094,14.6,919,12.3,5481,73.1
14,Antiquity & Art Treasure Act,115,3,2.6,71,61.7,41,35.7
15,Dowry Prohibition Act,8938,862,9.6,6124,68.5,1952,21.8
16,Child Marriage Restraint Act,119,3,2.5,64,53.8,52,43.7
17,Indecent Representation of Women (P)Act,742,3,0.4,577,77.8,162,21.8
18,Copy Right Act,1112,23,2.1,859,77.2,230,20.7
19,Sati Prevention Act,0,0,NA,0,NA,0,NA
20,SC/ST (Prevention of Atrocities ) Act,34768,829,2.4,31452,90.5,2487,7.2
21,Forest Act,9191,229,2.5,8580,93.4,382,4.2
22,Other SLL Crimes ,3462585,204221,5.9,3174116,91.7,84248,2.4
23,Total Cognizable Crimes Under SLL,4900381,227891,4.7,4429337,90.4,243147,5
