SI.No.,Crime Head,Incidence - 1985,Rate - 1985,Incidence - 1990,Rate - 1990,Incidence - 1991,Rate - 1991,Incidence - 1992,Rate - 1992,Incidence - 1993,Rate - 1993,Incidence - 1994,Rate - 1994,Incidence - Quinquenial Avg.(1990-94)(Q.A) ,Rate - Quinquenial Avg.(1990-94)(Q.A),Incidence - 1995,Rate - 1995,Percentage Change In 1995[(+)Increase /(-) Decrease] Over - 1985,Percentage Change In 1995[(+)Increase /(-) Decrease] Over - Q.A,Percentage Change In 1995[(+)Increase /(-) Decrease] Over - 1994
1,Murder,25970,3.5,35045,4.2,39174,4.6,40105,4.6,38240,4.3,38577,4.3,38228,4.4,37464,4.1,44.3,-2,-2.9
2,Attempt to Commit Murder,*,NA,27095,3.3,29778,3.5,31202,3.6,29725,3.4,30020,3.3,29564,3.4,29571,3.2,NA,NA,-1.5
3,C.H. Not Amounting To Murder,3995,0.5,4281,0.5,4243,0.5,4621,0.5,3890,0.4,3946,0.4,4196,0.5,3830,0.4,-4.1,-8.7,-2.9
4,Rape,7289,1,10068,1.2,10410,1.2,11708,1.3,12218,1.4,13208,1.5,11522,1.3,13754,1.5,88.7,19.4,4.1
5,Kidnapping & Abduction,16051,2.1,18474,2.2,20079,2.4,20518,2.4,19830,2.2,20983,2.3,19977,2.3,20426,2.2,27.3,2.2,-2.7
5,I)Of Woman & Girls,*,NA,14446,1.7,14283,1.7,13996,1.6,14058,1.6,14075,1.6,14172,1.6,14063,1.5,NA,-0.8,-0.1
5,II)Of Others,*,NA,4028,0.5,5796,0.7,6522,0.8,5772,0.7,6908,0.8,5805,0.7,6363,0.7,NA,9.6,-7.9
6,Dacoity,11254,1.5,11089,1.3,10831,1.3,11308,1.3,9357,1.1,9271,1,10371,1.2,8335,0.9,-25.9,-19.6,-10.1
7,Preparation & Assembly for Dacoity,*,,1286,0.2,1393,0.2,1297,0.1,1102,0.1,946,0.1,1205,0.1,961,0.1,NA,-20.2,1.6
8,Robbery,22501,3,25440,3.1,26428,3.1,26444,3,24354,2.8,23933,2.7,25320,2.9,22443,2.5,-0.3,-11.4,-6.2
9,Burglary,130354,17.4,131331,15.9,132087,15.5,127281,14.7,123020,13.9,121536,13.5,127051,14.7,116507,12.7,-10.6,-8.3,-4.1
10,Theft,330554,44,353191,42.7,362928,42.7,350582,40.4,320434,36.3,303564,33.7,338140,39.1,294306,32.1,-11,-13,-3
11,Riots,99757,13.3,102846,12.4,105309,12.4,104749,12.1,93838,10.6,94344,10.5,100217,11.6,96520,10.5,-3.2,-3.7,2.3
12,Criminal Breach of Trust,18417,2.5,16552,2,17495,2.1,17925,2.1,17039,1.9,16523,1.8,17107,2,15503,1.7,-15.8,-9.4,-6.2
13,Cheating,21016,2.8,24466,3,27466,3.2,29397,3.4,30079,3.4,31207,3.5,28523,3.3,30678,3.3,46,7.6,-1.7
14,Counterfeiting,1504,0.2,2576,0.3,4467,0.5,5133,0.6,3728,0.4,2851,0.3,3751,0.4,2203,0.2,46.5,-41.3,-22.7
15,Arson,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,12028,1.3,NA,NA,NA
16,Hurt/Grievous hurt,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,203812,22.3,NA,NA,NA
17,Dowry Deaths,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,4648,0.5,NA,NA,NA
18,Molestation,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,26856,2.9,NA,NA,NA
19,Sexual Harassment,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,4689,0.5,NA,NA,NA
20,Cruelty by Husband or Relatives,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,28579,3.1,NA,NA,NA
21,Other IPC Crimes,696069,92.7,840709,101.7,886287,104.3,907071,104.5,903082,102.2,924342,102.7,892298,103.1,722583,78.9,3.8,-19,-21.8
22,Total Cognizable Crimes Under IPC,1384731,184.4,1604449,194,1678375,197.5,1689341,194.7,1629936,184.4,1635251,181.7,1647470,190.3,1695696,185.1,22.5,2.9,3.7
