SL. No.,Year,7-12 Years,Percentage to Total - 7-12 Years,12-16 Years,Percentage to Total - 12-16 Years,16-18 Years,Percentage to Total - 16-18 Years,18-21 Years,Percentage to Total - 18-21 Years,Over all Age Group
1,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
2,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
3,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
4,1988,3446,9,31098,81.5,3624,9.5,NA,NA,38168
5,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
6,1990,3681,11.9,23580,76.5,3555,11.5,NA,NA,30816
7,1991,5837,19.7,18887,63.8,4867,16.4,NA,NA,29591
8,1992,3435,16.1,14793,69.3,3130,14.7,NA,NA,21358
9,1993,3929,19.6,13437,67,2701,13.5,NA,NA,20067
10,1994,3694,21.5,11053,64.3,2456,14.3,NA,NA,17203
11,1995,3377,18,12013,63.9,3403,18.1,NA,NA,18793
"Percentage age in 1995 Over 1985


","Percentage age in 1995 Over 1985


",-43.6,NA,4.3,NA,-83.93,NA,-100,NA,-88.8
Percentage age in 1995 Over 1994,Percentage age in 1995 Over 1994,-8.6,NA,8.7,NA,38.6,NA,NA,NA,9.2
