SL. No.,Category,State/UT,Rape (Below 16 Years) - Incidence (I),Rape (Below 16 Years) - Percentage Contribution to All - India (P),Infanticide - Incidence (I),Infanticide - Percentage Contribution to All-India (P),Foeticide - Incidence (I),Foeticide - Percentage Contribution to All-India (P),Abetment of Suicide - Incidence (I),Abetment of Suicide - Percentage Contribution to All-India (P),Exposure & Abandonment - Incidence (I),Exposure & Abandonment - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Percentage Contribution to All-India (P),Procuration of Minor Girls - Incidence (I),Procuration of Minor Girls - Percentage Contribution to All-India (P),Selling of Girls for Prostitution - Incidence (I),Selling of Girls for Prostitution - Percentage Contribution to All-India (P),Buying of Girls for Prostitution - Incidence (I),Buying of Girls for Prostitution - Percentage Contribution to All-India (P),Child Marriage Restraint Act - Incidence (I),Child Marriage Restraint Act - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Percentage Contribution to All-India (P)
1,State,Andhra Pradesh,360,9,10,7.6,1,2.2,0,0,0,0,46,5.3,2,1,8,23.5,0,0,0,0,427,7.3
2,State,Arunachal Pradesh,17,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.3
3,State,Assam,142,3.6,0,0,0,0,0,0,0,0,12,1.4,19,9.2,2,5.9,0,0,1,1.9,176,3
4,State,Bihar,213,5.4,23,17.6,0,0,0,0,0,0,77,8.9,69,33.5,5,14.7,0,0,9,17,396,6.8
5,State,Goa,3,0.1,1,0.8,0,0,0,0,1,0.2,1,0.1,0,0,0,0,0,0,0,0,6,0.1
6,State,Gujarat,113,2.8,4,3.1,6,13.3,1,14.3,43,8.8,98,11.3,27,13.1,0,0,0,0,20,37.7,312,5.4
7,State,Haryana,119,3,2,1.5,0,0,0,0,4,0.8,26,3,6,2.9,0,0,0,0,2,3.8,159,2.7
8,State,Himachal Pradesh,39,1,0,0,0,0,0,0,7,1.4,22,2.5,2,1,0,0,0,0,5,9.4,75,1.3
9,State,Jammu & Kashmir,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1
10,State,Karnataka,99,2.5,1,0.8,0,0,0,0,5,1,7,0.8,4,1.9,0,0,0,0,1,1.9,117,2
11,State,Kerala,62,1.6,1,0.8,0,0,0,0,1,0.2,7,0.8,3,1.5,0,0,0,0,3,5.7,77,1.3
12,State,Madhya Pradesh,809,20.3,21,16,17,37.8,3,42.9,97,19.8,61,7.1,10,4.9,1,2.9,0,0,3,5.7,1022,17.6
13,State,Maharashtra,491,12.3,49,37.4,17,37.8,1,14.3,287,58.5,102,11.8,45,21.8,1,2.9,1,25,5,9.4,999,17.2
14,State,Manipur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,State,Meghalaya,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1
16,State,Mizoram,17,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.3
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0
18,State,Orissa,80,2,9,6.9,0,0,0,0,4,0.8,30,3.5,4,1.9,0,0,0,0,0,0,127,2.2
19,State,Punjab,42,1.1,4,3.1,0,0,0,0,0,0,8,0.9,0,0,0,0,0,0,0,0,54,0.9
20,State,Rajasthan,205,5.2,4,3.1,4,8.9,2,28.6,14,2.9,3,0.3,1,0.5,0,0,0,0,3,5.7,236,4.1
21,State,Sikkim,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
22,State,Tamil Nadu,32,0.8,1,0.8,0,0,0,0,1,0.2,7,0.8,1,0.5,0,0,0,0,0,0,42,0.7
23,State,Tripura,13,0.3,0,0,0,0,0,0,0,0,2,0.2,1,0.5,0,0,0,0,0,0,16,0.3
24,State,Uttar Pradesh,538,13.5,0,0,0,0,0,0,4,0.8,170,19.7,5,2.4,0,0,0,0,1,1.9,718,12.4
25,State,West Bengal,359,9,0,0,0,0,0,0,0,0,53,6.1,6,2.9,1,2.9,3,75,0,0,422,7.3
Total (States),State,Total (States),3770,94.8,130,99.2,45,100,7,100,468,95.3,732,84.7,206,100,18,52.9,4,100,53,100,5433,93.5
26,UT,A & N - Incidence (I) slands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,UT,Chandigarh,3,0.1,0,0,0,0,0,0,1,0.2,2,0.2,0,0,0,0,0,0,0,0,6,0.1
28,UT,D & N Haveli,1,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,4,0.1
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,200,5,1,0.8,0,0,0,0,22,4.5,123,14.2,0,0,15,44.1,0,0,0,0,361,6.2
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,3,0.1,0,0,0,0,0,0,0,0,4,0.5,0,0,1,2.9,0,0,0,0,8,0.1
Total (UTs),UT,Total (UTs),208,5.2,1,0.8,0,0,0,0,23,4.7,132,15.3,0,0,16,47.1,0,0,0,0,380,6.5
Total (All-India),Total (All-India),Total (All-India),3978,100,131,100,45,100,7,100,491,100,864,100,206,100,34,100,4,100,53,100,5813,100
