SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7),Conviction Rate (Col. 8)
1,Murder,0.3,5.5,9.5,15,84.7,37
2,Attempt to Commit Murder,0.7,5.3,9.4,14.7,84.6,36
3,C.H. Not Amounting To Murder,0.7,5.6,9.8,15.4,83.9,36.3
4,Rape,0.4,5,11.6,16.5,83.1,30
5,Kidnapping & Abduction,1.4,4.5,10.5,15,83.6,30.3
5,I)of Women & Girls,1.5,4.1,10.3,14.4,84.1,28.6
5,II)of Others,1,5.9,11.1,17,82,34.7
6,Dacoity,0.3,3.2,8.5,11.7,88.1,27.3
7,Preparation & Assembly for Dacoity,0.2,4.3,11.6,15.9,83.9,26.7
8,Robbery,0.3,4.3,8.4,12.8,86.9,34.1
9,Burglary,1.2,6.4,8.6,15,83.8,42.7
10,Theft,1.2,7.2,8.8,16,82.8,45.3
11,Riots,3.5,3.9,8.5,12.4,84.1,31.3
12,Criminal Breach of Trust,1,3.1,7.2,10.2,88.7,29.9
13,Cheating,1.2,3.4,7.2,10.6,88.2,32.4
14,Counterfeiting,0.6,4.3,8.3,12.5,86.9,34.1
15,Arson,1.6,4.4,11.6,16,82.4,27.7
16,Hurt/ Grievous Hurt,6.4,5.2,8.4,13.6,79.9,38.4
17,Dowry Death,0.7,4.3,7.9,12.2,87.1,35.4
18,Molestation,5,5,8.5,13.5,81.6,37.2
19,Sexual Harassment,3.3,18.5,6.8,25.4,71.4,73.1
20,Cruelty by Husband and Relatives,2.9,2.5,7.8,10.3,86.8,24.2
21,Other IPC Crimes,3.6,7.6,8.9,16.5,80,45.9
22,Total Cognizable Crimes Under IPC,3.1,6.4,8.8,15.1,81.7,42.1
