SL. No. ,Category, State/UT                 ,Rape (Below 16 Years) - Incidence (I) ,Rape (Below 16 Years) - Percentage Contribution to All - India (P),Infanticide - Incidence (I) ,Infanticide - Percentage Contribution to All - India (P),Foeticide - Incidence (I) ,Foeticide - Percentage Contribution to All - India (P),Abetment of Suicide - Incidence (I) ,Abetment of Suicide - Percentage Contribution to All - India (P),Exposure & Abandonment - Incidence (I) ,Exposure & Abandonment - Percentage Contribution to All - India (P),Kidnapping & Abduction - Incidence (I)  ,Kidnapping & Abduction - Percentage Contribution to All - India (P),Procuration of Minor Girls - Incidence (I) ,Procuration of Minor Girls - Percentage Contribution to All - India (P),Selling of Girls for Prostitution - Incidence (I) ,Selling of Girls for Prostitution - Percentage Contribution to All - India (P),Buying of Girls for Prostitution - Incidence (I) ,Buying of Girls for Prostitution - Percentage Contribution to All - India (P),Child Marriage Restraint Act* - Incidence (I) ,Child Marriage Restraint Act* - Percentage Contribution to All - India (P),Total - Incidence (I) ,Total - Percentage Contribution to All - India (P)
1,State,Andhra Pradesh ,322,7.9,5,3.6,0,0,0,0,1,0.2,59,8.1,6,5.6,0,0,2,105,3,5.3,398,6.9
2,State,Arunachal Pradesh ,0,0,1,0.7,0,0,0,0,1,0.2,1,0.1,0,0,0,0,0,0,0,0,3,0.1
3,State,Assam,157,3.9,1,0.7,0,0,0,0,0,0,0,0,9,8.4,0,0,0,0,0,0,167,2.9
4,State,Bihar,349,8.6,9,6.5,2,5.3,1,11.1,0,0,61,8.4,31,29,2,11.8,1,5.3,3,5.3,459,8
5,State,Goa,11,0.3,2,1.4,0,0,0,0,1,0.2,4,0.6,2,1.9,0,0,0,0,0,0,20,0.3
6,State,Gujarat,96,2.4,8,5.8,8,21.1,2,22.2,86,15.1,97,13.4,8,7.5,0,0,1,5.3,21,36.8,327,5.7
7,State,Haryana,112,2.8,1,0.7,0,0,0,0,0,0,15,2.1,2,1.9,0,0,0,0,1,1.8,131,2.3
8,State,Himachal Pradesh,53,1.3,2,1.4,0,0,0,0,5,0.9,8,1.1,0,0,0,0,0,0,8,14,76,1.3
9,State,Jammu & Kashmir,12,0.3,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,13,0.2
10,State,Karnataka ,79,1.9,3,2.2,1,2.6,0,0,2,0.4,13,1.8,2,1.9,0,0,1,5.3,0,0,101,1.8
11,State,Kerala,102,2.5,0,0,0,0,0,0,4,0.7,9,1.2,0,0,0,0,0,0,2,3.5,117,2
12,State,Madhya Pradesh,935,23,49,35.3,14,36.8,4,44.4,106,18.6,50,6.9,4,3.7,1,5.9,0,0,1,1.8,1164,20.2
13,State,Maharashtra,506,12.4,40,28.8,8,21.1,2,22.2,313,54.9,99,13.6,23,21.5,2,11.8,0,0,9,15.8,1002,17.4
14,State,Manipur,3,0.1,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
15,State,Meghalaya,7,0.2,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,8,0.1
16,State,Mizoram,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,101,2.5,1,0.7,1,2.6,0,0,1,0.2,10,1.4,5,4.7,0,0,0,0,0,0,119,2.1
19,State,Punjab,31,0.8,4,2.9,0,0,0,0,5,0.9,3,0.4,1,0.9,0,0,1,5.3,0,0,45,0.8
20,State,Rajasthan,124,3,4,2.9,3,7.9,0,0,17,3,14,1.9,3,2.8,0,0,0,0,9,15.8,174,3
21,State,Sikkim ,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1
22,State,Tamil Nadu,56,1.4,5,3.6,0,0,0,0,0,0,2,0.3,0,0,0,0,0,0,0,0,63,1.1
23,State,Tripura,18,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.3
24,State,Uttar Pradesh,484,11.9,2,1.4,0,0,0,0,0,0,104,14.3,0,0,0,0,0,0,0,0,590,10.3
25,State,West Bengal ,360,8.9,1,0.7,0,0,0,0,0,0,126,17.4,10,9.3,12,70.6,13,68.4,0,0,522,9.1
Total (States),State,Total (States),3928,96.6,139,100,37,97.4,9,100,543,95.3,676,93.1,106,99.1,17,100,19,100,57,100,5531,96.2
26,UT,A & N -  Incidence (I) slands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,UT,Chandigarh,2,0,0,0,0,0,0,0,4,0.7,0,0,1,0.9,0,0,0,0,0,0,7,0.1
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,UT,Delhi,134,3.3,0,0,1,2.6,0,0,22,3.9,46,6.3,0,0,0,0,0,0,0,0,203,3.5
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,1,0,0,0,0,0,0,0,1,0.2,4,0.6,0,0,0,0,0,0,0,0,6,0.1
Total (UTs),UT,Total (UTs),139,3.4,0,0,1,2.6,0,0,27,4.7,50,6.9,1,0.9,0,0,0,0,0,0,218,3.8
Total (All-India),Total (All-India),Total (All-India),4067,100,139,100,38,100,9,100,570,100,726,100,107,100,17,100,19,100,57,100,5749,100
