SL. No.,Category,State/UT,Pending investigation from previous year,Cases registered during the year,Total cases for investigation ,Cases investigated,Cases not investigated or investigation dropped,Cases transferred to local police,Cases declared false etc. during year,Cases chargesheeted,Cases pending for Dept. sanction for prosecution,Cases sent-up for trail and also reported for Dept. action,Cases reported for regular departmental action,Cases reported for suitable action,Cases in which chargesheet not laid but final report submitted,Cases pending investigation at the end of year,Cases resulted in recovery or seizure,Value of property recovered/seized(In Rs.'000),Percentage of cases chargesheted to total cases investigated,Cases pending trail from the previous year  ,Cases sent-up for trail during the year ,Total cases for trail,Cases with drawn/discharged or otherwise disposed of,Trail completed during the year,Cases convicted,Cases acquitted or dischared,Pending trail at the end of the year,Percentage of cases convicted to trails completed,Total amount of fine imposed during the year(In Rs.'000)
1,State,Andhra Pradesh ,112,133,245,100,1,0,0,103,65,0,22,0,18,144,85,216,103,293,103,396,6,36,12,24,354,33.3,126
2,State,Arunachal Pradesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
3,State,Assam,25,10,35,35,0,0,0,2,8,0,0,0,1,32,2,175,5.7,10,2,12,0,0,0,0,12,NA,0
4,State,Bihar,171,69,240,240,0,0,0,19,38,0,0,0,4,198,13,6151,7.9,297,19,316,0,6,6,0,310,100,0
5,State,Goa,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,100,10,1,11,0,0,0,0,11,NA,0
6,State,Gujarat,66,179,245,236,0,21,0,168,57,168,0,0,2,158,172,359,71.2,943,168,1111,0,51,7,44,1060,13.7,5
7,State,Haryana,76,69,145,124,0,0,0,56,10,76,0,0,3,101,15,10,45.2,206,56,262,3,33,6,27,226,18.2,32
8,State,Himachal Pradesh,150,19,169,169,0,0,0,47,1,1,0,0,0,122,0,1495,27.8,138,47,185,1,2,0,2,182,0,0
9,State,Jammu & Kashmir,260,137,397,187,210,0,53,68,42,30,0,0,0,260,0,0,36.4,315,68,383,43,27,3,24,313,11.1,28
10,State,Karnataka ,188,242,430,430,11,2,36,149,114,93,6,0,67,188,54,0,34.7,411,149,560,4,61,18,43,495,29.5,0
11,State,Kerala,171,94,265,98,0,0,8,33,8,7,0,0,8,206,0,0,33.7,134,33,167,0,51,17,34,116,33.3,0
12,State,Madhya Pradesh,406,122,528,528,0,0,0,152,86,0,4,7,13,363,41,152344,28.8,754,152,906,8,147,52,95,751,35.4,24
13,State,Maharashtra,377,249,626,391,1,3,0,187,119,0,15,2,31,396,96,423,47.8,1212,187,1399,9,97,47,50,1293,48.5,49
14,State,Manipur,24,2,26,26,0,0,0,0,0,0,0,0,5,21,0,0,0,27,0,27,0,0,0,0,27,NA,0
15,State,Meghalaya,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,NA,0
16,State,Mizoram,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,6,0,6,0,0,0,0,6,NA,0
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
18,State,Orissa,220,221,441,431,0,0,0,124,60,59,17,13,29,454,126,4825,28.8,662,124,786,0,37,9,28,749,24.3,1
19,State,Punjab,198,198,396,155,9,0,0,136,60,133,2,2,0,241,0,0,87.7,336,136,472,0,51,13,38,421,25.5,30
20,State,Rajasthan,338,180,518,518,1,0,10,105,119,0,0,0,55,234,101,183,20.3,672,105,777,0,54,14,40,723,25.9,42
21,State,Sikkim ,0,11,11,11,0,0,0,3,0,0,0,0,0,8,0,0,27.3,0,3,3,0,0,0,0,3,NA,0
22,State,Tamil Nadu,125,29,154,154,4,0,0,7,16,0,42,0,0,90,0,0,4.5,77,7,84,0,9,7,2,75,77.8,25
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
24,State,Uttar Pradesh,28,30,58,53,0,0,0,13,30,7,1,0,2,28,1,2,24.5,104,13,117,6,7,0,7,104,0,0
25,State,West Bengal ,12,10,22,22,1,8,0,5,0,0,0,0,0,18,4,2,22.7,3,5,8,0,0,0,0,8,NA,0
Total (States),State,Total (States),2949,2006,4955,3909,238,34,107,1378,833,574,109,24,238,3265,710,166185,35.3,6610,1378,7988,80,669,211,458,7239,31.5,362
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
27,UT,Chandigarh,0,7,7,7,0,0,0,0,0,0,0,0,1,6,0,0,0,5,0,5,0,0,0,0,5,NA,0
28,UT,D & N Haveli,1,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,0,0,0,0,0,0,0,0,NA,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0
30,UT,Delhi,144,48,192,192,6,0,0,23,12,0,1,5,4,163,38,43,12,234,23,257,7,26,1,25,224,3.8,3
31,UT,Lakshadweep,6,1,7,4,0,0,0,2,0,2,2,0,0,3,0,0,50,1,2,3,0,1,0,1,2,0,0
32,UT,Pondicherry,4,0,4,4,1,0,0,3,0,0,0,0,0,1,0,0,75,10,3,13,0,0,0,0,13,NA,0
Total (UTs),UT,Total (UTs),155,58,213,207,7,0,0,28,12,2,3,5,5,176,38,44,13.5,250,28,278,7,27,1,26,244,3.7,3
Total (All-India),Total (All-India),Total (All-India),3104,2064,5168,4116,245,34,107,1406,845,576,112,29,243,3441,748,166229,34.2,6860,1406,8266,87,696,212,484,7483,30,365
