SL. No.,Category,State/UT,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (in Lakhs),Rate**,Rank*
1,State,Andhra Pradesh ,9097,8.5,717.1,12.7,7
2,State,Arunachal Pradesh ,68,0.1,9.6,7.1,23
3,State,Assam,2831,2.7,246.1,11.5,10
4,State,Bihar,3790,3.6,949.1,4,27
5,State,Goa,143,0.1,12.7,11.3,12
6,State,Gujarat,4392,4.1,446.1,9.8,14
7,State,Haryana,2042,1.9,180.7,11.3,11
8,State,Himachal Pradesh,781,0.7,56.1,13.9,6
9,State,Jammu & Kashmir,812,0.8,85.1,9.5,17
10,State,Karnataka ,5685,5.3,480.5,11.8,9
11,State,Kerala,2063,1.9,309.1,6.7,24
12,State,Madhya Pradesh,15358,14.4,721.4,21.3,1
13,State,Maharashtra,16340,15.3,859.1,19,3
14,State,Manipur,101,0.1,20.3,5,26
15,State,Meghalaya,39,0,19.6,2,29
16,State,Mizoram,100,0.1,7.9,12.7,8
17,State,Nagaland,27,0,13.9,1.9,30
18,State,Orissa,3344,3.1,342.7,9.8,15
19,State,Punjab,614,0.6,216,2.8,28
20,State,Rajasthan,9422,8.8,482.1,19.5,2
21,State,Sikkim ,45,0,4.7,9.6,16
22,State,Tamil Nadu,8774,8.2,582.9,15.1,5
23,State,Tripura,261,0.2,30.5,8.6,19
24,State,Uttar Pradesh,11976,11.2,1501.2,8,20
25,State,West Bengal ,6382,6,732.7,8.7,18
Total (States),State,Total (States),104487,98.1,9027.2,11.6,NA
26,UT,A & N Islands,25,0,3.3,7.6,22
27,UT,Chandigarh,62,0.1,7.8,7.9,21
28,UT,D & N Haveli,17,0,1.6,10.6,13
29,UT,Daman & Diu,2,0,1.1,1.8,31
30,UT,Delhi,1828,1.7,109.7,16.7,4
31,UT,Lakshadweep,0,0,0.6,0,32
32,UT,Pondicherry,50,0,8.8,5.7,25
Total (UTs),UT,Total (UTs),1984,1.9,132.9,14.9,NA
Total (All-India),Total (All-India),Total (All-India),106471,100,9160.1,11.6,NA
