SL. No.,Crime Head,Number of Cases Reported During - 1994,Number of Cases Reported During - 1995,Percentage Change in 1995 Over 1994
1,Arms Act,115,56,-51.3
2,Narcotic Drugs & Psychotropic Substances Act,33,26,-21.2
3,Gambling Act ,363,240,-33.9
4,Excise Act,106,182,71.7
5,Prohibition Act,663,732,10.4
6,Explosive & Explosive Substances Act,3,5,66.7
7,Immoral Traffic (Prevention) Act,47,50,6.4
8,Indian Railways Act,5,7,40
9,Registration of Foreigners Act,1,14,1300
10,Protection Of Civil Rights Act,3,2,-33.3
11,Indian Passport Act,30,8,-73.3
12,Essential Commodities Act,5,3,-40
13,Terrorist & Disruptive Actvites Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,9,29,222.2
16,Child Marriage Restraint Act,*,0,NA
17,Indecent Representation of Women (P)Act,*,0,NA
18,Copy Right Act,*,0,NA
19,Sati Prevention Act,*,0,NA
20,SC/ST (Prevention of Atrocities ) Act,*,8,125
21,Forest Act,*,0,NA
22,Other SLL Crimes ,4813,3893,-19.1
23,Total Cognizable Crimes Under SLL,7189,5255,-27
