Category,States/ UTs,Total No. of Persons Undertrial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,2193,36,742,1415,172,64.5,4.3
State,Arunachal Pradesh,23,0,0,23,0,100,0.1
State,Assam,41,0,20,21,3,51.2,0.1
State,Bihar,288,0,40,248,4,86.1,0.7
State,Chhattisgarh,3846,1,758,3087,418,80.3,9.3
State,Goa,0,0,0,0,0,0,0
State,Gujarat,4516,6,355,4155,16,92,12.5
State,Haryana,33,0,33,0,7,0,0
State,Himachal Pradesh,9,0,2,7,0,77.8,0
State,Jammu & Kashmir,8,0,0,8,0,100,0
State,Jharkhand,581,6,35,540,15,92.9,1.6
State,Karnataka,2151,21,623,1507,13,70.1,4.5
State,Kerala,1258,17,149,1092,9,86.8,3.3
State,Madhya Pradesh,11581,178,2267,9136,489,78.9,27.5
State,Maharashtra,4848,40,444,4364,2,90,13.1
State,Manipur,1,0,0,1,0,100,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,422,1,162,259,161,61.4,0.8
State,Orissa,2917,0,379,2538,66,87,7.6
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,5262,130,1380,3752,479,71.3,11.3
State,Sikkim,10,0,8,2,6,20,0
State,Tamil Nadu,647,0,34,613,12,94.7,1.8
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,625,0,240,385,119,61.6,1.2
State,Uttaranchal,74,0,18,56,10,75.7,0.2
State,West Bengal,20,0,7,13,3,65,0
State,Total (States),41354,436,7696,33222,2004,80.3,99.9
Union Territory,A & N Islands,1,0,0,1,0,100,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,25,0,1,24,0,96,0.1
Union Territory,Daman & Diu,1,0,0,1,0,100,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,2,0,0,2,0,100,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),29,0,1,28,0,96.6,0.1
Total (All-India),Total (All-India),41383,436,7697,33250,2004,80.3,100
