Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
Murder,62495,3501,65996,94.7,5.3
Attempt to Commit Murder,61393,2469,63862,96.1,3.9
C.H. not Amounting to Murder,7546,162,7708,97.9,2.1
Rape - Total,19499,495,19994,97.5,2.5
Rape - I) Custodial Rape,0,0,0,0,0
Rape - Ii) Other Rape,19499,495,19994,97.5,2.5
Kidnapping & Abduction - Total,25091,1450,26541,94.5,5.5
Kidnapping & Abduction - I) of Women & Girls,14527,1116,15643,92.9,7.1
Kidnapping & Abduction - Ii) of Others,10564,334,10898,96.9,3.1
Dacoity,18740,102,18842,99.5,0.5
Preparation & Assembly for Dacoity,10148,14,10162,99.9,0.1
Robbery,26152,184,26336,99.3,0.7
Burglary,60307,1090,61397,98.2,1.8
Theft - Total,154238,5280,159518,96.7,3.3
Theft - I) Auto Theft,32118,76,32194,99.8,0.2
Theft - Ii) Other Theft,122120,5204,127324,95.9,4.1
Riots,306120,17884,324004,94.5,5.5
Criminal Breach of Trust,14651,504,15155,96.7,3.3
Cheating,42799,2074,44873,95.4,4.6
Counterfeiting,2283,43,2326,98.2,1.8
Arson,11892,250,12142,97.9,2.1
Hurt,437862,32591,470453,93.1,6.9
Dowry Death,12775,3861,16636,76.8,23.2
Molestation,41610,834,42444,98,2
Sexual Harassment,15137,214,15351,98.6,1.4
Cruelty by Husband and Relatives,84158,26465,110623,76.1,23.9
Importation of Girls,52,3,55,94.5,5.5
Causing Death by Negligence,53036,279,53315,99.5,0.5
Other IPC Crimes,891233,51926,943159,94.5,5.5
Total Cognizable Crimes Under IPC,2359217,151675,2510892,94,6
