Category,States/ UTs,Total No. of Persons Under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Person Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,1226,25,699,502,40.9,35.8
State,Arunachal Pradesh,17,3,9,5,29.4,0.4
State,Assam,58,7,32,19,32.8,1.4
State,Bihar,111,1,66,44,39.6,3.1
State,Chhattisgarh,1070,15,980,75,7,5.3
State,Goa,0,0,0,0,0,0
State,Gujarat,813,5,803,5,0.6,0.4
State,Haryana,0,0,0,0,0,0
State,Himachal Pradesh,30,9,7,14,46.7,1
State,Jammu & Kashmir,1,0,1,0,0,0
State,Jharkhand,387,15,289,83,21.4,5.9
State,Karnataka,625,85,464,76,12.2,5.4
State,Kerala,179,16,96,67,37.4,4.8
State,Madhya Pradesh,3906,0,3765,141,3.6,10
State,Maharashtra,578,4,475,99,17.1,7.1
State,Manipur,21,16,1,4,19,0.3
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,414,14,196,204,49.3,14.5
State,Orissa,746,2,728,16,2.1,1.1
State,Punjab,0,0,0,0,0,0
State,Rajasthan,1073,0,1070,3,0.3,0.2
State,Sikkim,6,0,6,0,0,0
State,Tamil Nadu,382,9,342,31,8.1,2.2
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,144,16,119,9,6.3,0.6
State,Uttaranchal,6,0,6,0,0,0
State,West Bengal,16,2,10,4,25,0.3
State,Total (States),11809,244,10164,1401,11.9,99.9
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,24,0,22,2,8.3,0.1
Union Territory,Daman & Diu,1,0,1,0,0,0
Union Territory,Delhi,0,0,0,0,0,0
Union Territory,Lakshadweep,2,0,2,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0
Union Territory,Total (UTs),27,0,25,2,7.4,0.1
Total (All-India),Total (All-India),11836,244,10189,1403,11.9,100
