Crime Head,Year - 1993,Year - 1998,Year - 1999,Year - 2000,Year - 2001,Year - 2002,Quinquennial Average (1998-2002) (Q.A),2003@,Percentage Change in 2003 [(+) increase / (-) Decrease] Over - 1993,Percentage Change in 2003 [(+) increase / (-) Decrease] Over - Q.A,Percentage Change in 2003 [(+) increase / (-) Decrease] Over - 2002,Note of Year - 1993,Note of Year - 1998,Note of Year - 1999,Note of Year - 2000,Note of Quinquennial Average (1998-2002) (Q.A)
Murder,297,253,250,267,531,531,366,465,56.6,26.9,-12.4,NA,NA,NA,NA,NA
Attempt to Commit Murder,182,163,179,196,449,469,291,475,161,63.1,1.3,NA,NA,NA,NA,NA
C.H. not Amounting to Murder,15,22,21,27,34,22,25,25,66.7,-0.8,13.6,NA,NA,NA,NA,NA
Rape - Total,168,199,159,198,399,485,288,466,177.4,61.8,-3.9,NA,NA,NA,NA,NA
Rape - i) Custodial Rape,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,*,*,*,*,*
Rape - ii) Other Rape,NA,NA,NA,NA,399,485,NA,466,NA,NA,-3.9,*,*,*,*,*
Kidnapping & Abduction - Total,184,153,83,83,122,164,121,202,9.8,66.9,23.2,NA,NA,NA,NA,NA
Kidnapping & Abduction - i) of Women & Girls,140,134,66,54,79,109,88,158,12.9,78.7,45,NA,NA,NA,NA,NA
Kidnapping & Abduction - ii) of Others,44,19,17,29,43,55,33,44,0,35,-20,NA,NA,NA,NA,NA
Dacoity,51,35,25,33,59,63,43,122,139.2,183.7,93.7,NA,NA,NA,NA,NA
Preparation & Assembly for Dacoity,5,2,2,7,51,46,22,38,660,75.9,-17.4,NA,NA,NA,NA,NA
Robbery,98,52,68,79,164,207,114,208,112.2,82.5,0.5,NA,NA,NA,NA,NA
Burglary,1138,1294,1344,1241,1687,1723,1458,2134,87.5,46.4,23.9,NA,NA,NA,NA,NA
Theft - Total,2404,2143,2172,2388,3196,3361,2652,3680,53.1,38.8,9.5,NA,NA,NA,NA,NA
Theft - i) Auto Theft,NA,NA,158,256,437,563,NA,604,NA,NA,7.3,*,*,NA,NA,*
Theft - ii) Other Theft,NA,NA,2010,2132,2759,2798,NA,3076,NA,NA,9.9,*,*,NA,NA,*
Riots,1023,574,509,532,1228,1066,782,1030,0.7,31.7,-3.4,NA,NA,NA,NA,NA
Criminal Breach of Trust,15,19,13,24,59,39,31,56,273.3,81.8,43.6,NA,NA,NA,NA,NA
Cheating,63,32,31,37,83,88,54,104,65.1,91.9,18.2,NA,NA,NA,NA,NA
Counterfeiting,1,0,7,3,4,3,3,8,700,135.3,166.7,NA,NA,NA,NA,NA
Arson,NA,24,40,29,48,107,50,34,NA,-31.5,-68.2,*,NA,NA,NA,NA
Hurt,NA,1645,1472,1497,3234,4137,2397,3074,NA,28.2,-25.7,*,NA,NA,NA,NA
Dowry Death,NA,77,52,78,50,65,64,52,NA,-19.3,-20,*,NA,NA,NA,NA
Molestation,NA,136,116,151,380,522,261,522,NA,100,0,*,NA,NA,NA,NA
Sexual Harassment,NA,37,27,41,105,265,95,286,NA,201.1,7.9,*,NA,NA,NA,NA
Cruelty by Husband and Relatives,NA,249,273,334,349,262,293,202,NA,-31.2,-22.9,*,NA,NA,NA,NA
Importation of Girls,NA,NA,0,0,0,0,NA,0,NA,NA,0,*,*,NA,NA,*
Causing Death by Negligence,NA,NA,NA,NA,49,60,NA,78,NA,NA,30,*,*,*,*,*
Other IPC Crimes,3821,2243,2045,2022,4228,4875,3083,4558,19.3,47.9,-6.5,NA,NA,NA,NA,NA
Total Cognizable Crimes under IPC,9465,9352,8888,9267,16509,18560,12515,17819,88.3,42.4,-4,NA,NA,NA,NA,NA
