Category,States/ UTs,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Value of Property (Rs.In Lakhs) - Stolen,Value of Property (Rs.In Lakhs) - Recovered
State,Andhra Pradesh,144,65,20.6,8.4
State,Arunachal Pradesh,5,3,103.3,101.9
State,Assam,49,15,1.7,0.9
State,Bihar,16,3,6.4,0.5
State,Chhattisgarh,3,0,0.2,0
State,Goa,11,5,2,0.7
State,Gujarat,0,0,0,0
State,Haryana,11,8,1.5,1.3
State,Himachal Pradesh,10,1,1.9,0
State,Jammu & Kashmir,1,1,10,10
State,Jharkhand,94,58,5.2,3.2
State,Karnataka,222,53,65.8,20.4
State,Kerala,708,188,492,31.9
State,Madhya Pradesh,77,30,15.3,11.5
State,Maharashtra,4,1,9,7.1
State,Manipur,0,0,0,0
State,Meghalaya,0,0,0,0
State,Mizoram,253,153,11.3,3.8
State,Nagaland,0,0,0,0
State,Orissa,8,6,0.1,0
State,Punjab,16,5,2.5,0.8
State,Rajasthan,92,49,47.1,41.3
State,Sikkim,0,0,0,0
State,Tamil Nadu,24,15,2.8,1.9
State,Tripura,0,0,0,0
State,Uttar Pradesh,11,7,104.1,102.9
State,Uttaranchal,0,0,0,0
State,West Bengal,449,128,43.7,11.1
State,Total (States),2208,794,946.5,359.7
Union Territory,A & N Islands,1,1,0,0
Union Territory,Chandigarh,3,3,0.3,0.3
Union Territory,D & N Haveli,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0
Union Territory,Delhi,1,1,0,0
Union Territory,Lakshadweep,0,0,0,0
Union Territory,Pondicherry,0,0,0,0
Union Territory,Total (UTs),5,5,0.4,0.4
Total (All-India),Total (All-India),2213,799,946.9,360.1
