Category,States/UTs,Number of Deaths in Police Custody - During Hospitalisation/Treatment,Number of Deaths in Police Custody - Due to Accidents,Number of Deaths in Police Custody - by Mob Attack/Riot,Number of Deaths in Police Custody - by Other Criminals,Number of Deaths in Police Custody - by Suicide,Number of Deaths in Police Custody - while Escaping from Custody,Number of Deaths in Police Custody - Illness/Natural Death
State,Andhra Pradesh,16,0,1,0,3,0,2
State,Arunachal Pradesh,0,0,0,0,2,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,2
State,Chhattisgarh,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,5,0,1,0,3,1,1
State,Haryana,1,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,1,0,0
State,Kerala,0,0,0,0,0,1,0
State,Madhya Pradesh,1,0,0,0,1,0,0
State,Maharashtra,3,1,1,0,14,1,7
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,1,0,0
State,Punjab,2,0,0,0,0,0,1
State,Rajasthan,4,0,0,1,0,1,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,2,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,4,0,0,0,1,0,2
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,11,0,0,0,2,0,1
State,Total (States),47,1,3,1,30,4,16
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),47,1,3,1,30,4,16
