Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,11617,183,3900,7534,457,64.9,3.7
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,56,2,29,25,6,44.6,0
State,Bihar,8001,119,991,6891,225,86.1,3.4
State,Chhattisgarh,4068,1,574,3493,246,85.9,1.7
State,Goa,5,0,1,4,0,80,0
State,Gujarat,18711,58,2534,16119,49,86.1,8
State,Haryana,1382,0,327,1055,10,76.3,0.5
State,Himachal Pradesh,920,18,211,691,28,75.1,0.3
State,Jammu & Kashmir,36,0,8,28,1,77.8,0
State,Jharkhand,571,26,107,438,32,76.7,0.2
State,Karnataka,19080,137,4107,14836,78,77.8,7.3
State,Kerala,4502,135,600,3767,129,83.7,1.9
State,Madhya Pradesh,38271,1060,8327,28884,1856,75.5,14.3
State,Maharashtra,19933,59,2454,17420,87,87.4,8.6
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,3,0,1,2,1,66.7,0
State,Orissa,9167,0,1682,7485,260,81.7,3.7
State,Punjab,573,0,130,443,18,77.3,0.2
State,Rajasthan,21166,396,4917,15853,1910,74.9,7.8
State,Sikkim,7,0,4,3,3,42.9,0
State,Tamil Nadu,10532,18,3022,7492,560,71.1,3.7
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,81939,761,12427,68751,5976,83.9,34
State,Uttaranchal,866,0,219,647,75,74.7,0.3
State,West Bengal,19,0,6,13,5,68.4,0
State,Total (States),251425,2973,46578,201874,12012,80.3,99.9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,5,0,0,5,0,100,0
Union Territory,D & N Haveli,2,0,0,2,0,100,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,110,0,12,98,0,89.1,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,164,3,19,142,0,86.6,0.1
Union Territory,Total (UTs),281,3,31,247,0,87.9,0.1
Total (All-India),Total (All-India),251706,2976,46609,202121,12012,80.3,100
