Crime Head,2002,2003,Percentage Variation in 2003 Over 2002,Percentage Share of Arrestees Under Each Crime during 2003
Murder,75027,65996,-12,2.6
Attempt to Commit Murder,77812,63862,-17.9,2.5
C.H. not Amounting to Murder,7067,7708,9.1,0.3
Rape - Total,21236,19994,-5.8,0.8
Rape - I) Custodial Rape,0,0,NA,NA
Rape - Ii) Other Rape,21236,19994,-5.8,0.8
Kidnapping & Abduction - Total,30728,26541,-13.6,1.1
Kidnapping & Abduction - I) of Women & Girls,18221,15643,-14.1,0.6
Kidnapping & Abduction - Ii) of Others,12507,10898,-12.9,0.4
Dacoity,23477,18842,-19.7,0.8
Preparation & Assembly for Dacoity,8063,10162,26,0.4
Robbery,27577,26336,-4.5,1
Burglary,64678,61397,-5.1,2.4
Theft - Total,163475,159518,-2.4,6.4
Theft - I) Auto Theft,30456,32194,5.7,1.3
Theft - Ii) Other Theft,133019,127324,-4.3,5.1
Riots,374999,324004,-13.6,12.9
Criminal Breach of Trust,15511,15155,-2.3,0.6
Cheating,45676,44873,-1.8,1.8
Counterfeiting,2266,2326,2.6,0.1
Arson,18217,12142,-33.3,0.5
Hurt,482144,470453,-2.4,18.7
Dowry Death,18346,16636,-9.3,0.7
Molestation,43161,42444,-1.7,1.7
Sexual Harassment,12698,15351,20.9,0.6
Cruelty by Husband and Relatives,112956,110623,-2.1,4.4
Importation of Girls,101,55,-45.5,0
Causing Death by Negligence,57551,53315,-7.4,2.1
Other IPC Crimes,1013777,943159,-7,37.6
Total Cognizable Crimes Under IPC,2696543,2510892,-6.9,100
