Category,States/ UTs,Total No. of Persons Under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage Pendency to All-India Total
State,Andhra Pradesh,6157,271,3493,2393,38.9,36
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,119,8,45,66,55.5,1
State,Bihar,4063,481,2479,1103,27.1,16.6
State,Chhattisgarh,1197,26,1134,37,3.1,0.6
State,Goa,4,0,4,0,0,0
State,Gujarat,3151,3,3105,43,1.4,0.6
State,Haryana,409,0,402,7,1.7,0.1
State,Himachal Pradesh,214,24,161,29,13.6,0.4
State,Jammu & Kashmir,8,0,8,0,0,0
State,Jharkhand,362,3,301,58,16,0.9
State,Karnataka,4992,405,4078,509,10.2,7.6
State,Kerala,1076,69,547,460,42.8,6.9
State,Madhya Pradesh,11631,1,11388,242,2.1,3.6
State,Maharashtra,2376,31,2144,201,8.5,3
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,3,0,3,0,0,0
State,Orissa,1826,2,1680,144,7.9,2.2
State,Punjab,408,62,204,142,34.8,2.1
State,Rajasthan,4315,0,4296,19,0.4,0.3
State,Sikkim,7,0,7,0,0,0
State,Tamil Nadu,3277,90,2869,318,9.7,4.8
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,7407,312,6277,818,11,12.3
State,Uttaranchal,285,37,207,41,14.4,0.6
State,West Bengal,12,1,9,2,16.7,0
State,Total (States),53299,1826,44841,6632,12.4,99.7
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,1,0,1,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,11,0,9,2,18.2,0
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,70,0,49,21,30,0.3
Union Territory,Total (UTs),82,0,59,23,28,0.3
Total (All-India),Total (All-India),53381,1826,44900,6655,12.5,100
