Category,States/ UTs/Cities,Motives - Revenge / Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud / Illegal Gain,Motives - Eve Teasing / Harassment,Motives - Others,Motives - Total,Suspects - Foreign National /Group,Suspects - Disgrunted Employee / Employee,Suspects - Cracker / Student / Professional learners,Suspects - Business Competitor,Suspects - Neighbours / Friends & Relatives,Suspects - Others,Suspects - Total
State,Andhra Pradesh,0,1,0,0,0,105,0,1,107,0,0,0,2,82,23,107
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,1,1,0,2,4,0,1,0,0,0,1,2
State,Gujarat,0,3,0,0,0,2,0,24,29,0,0,1,0,0,28,29
State,Haryana,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
State,Himachal Pradesh,0,9,1,0,5,0,0,4,19,0,0,1,4,4,10,19
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,1,3,0,10,2,1,17,0,3,0,1,1,12,17
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,1,1,1,3,1,0,0,1,0,0,2
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,6,0,0,0,0,0,4,0,10,0,6,0,0,4,0,10
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,2
State,Uttaranchal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),6,15,2,3,6,120,8,36,196,1,10,3,9,91,76,190
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,1
Total (All-India),Total (All-India),6,15,2,3,6,120,8,41,201,1,11,3,9,91,76,191
City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ahmedabad,0,0,0,0,0,0,0,12,12,0,0,0,0,0,12,12
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bangalore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Chennai,2,1,0,0,0,0,2,1,6,0,0,0,0,0,0,0
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Delhi (CITY),0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Faridabad,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
City,Hyderabad,0,1,0,0,0,1,0,1,3,0,0,0,2,0,1,3
City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
City,Kochi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Mumbai,0,2,0,1,2,4,1,0,10,0,0,4,1,1,4,10
City,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Pune,0,1,0,0,0,0,1,2,4,0,1,0,1,0,2,4
City,Rajkot,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2
City,Surat,0,3,0,0,0,0,0,10,13,0,0,1,0,0,12,13
City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Varanasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Total (Cities),2,10,0,1,2,7,4,31,57,1,1,6,5,1,33,47
