Year,Incidence of - Juvenile Crimes,Incidence of - Total Cognizable Crimes,Percentage of Juvenile Crimes to Total Crimes,Estimated Mid-Year Population * (In Lakh),Rate (Incidence of Crime Per Lakh of Population),Note of Incidence of - Juvenile Crimes
1993,9465,1629936,0.6,8838,1.1,NA
1994,8561,1635251,0.5,8999,1,NA
1995,9766,1695696,0.6,9160,1.1,NA
1996,10024,1709576,0.6,9319,1.1,NA
1997,7909,1719820,0.5,9552,0.8,NA
1998,9352,1778815,0.5,9709,1,NA
1999,8888,1764629,0.5,9866,0.9,NA
2000,9267,1771084,0.5,10021,0.9,NA
2001,16509,1769308,0.9,10270,1.6,@
2002,18560,1780330,1,10506,1.8,@
2003,17819,1716120,1,10682,1.7,@
