Sr. No. (Col. 1),Crime Head (Col. 2),Cases WithDrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for investigation in which - investigation was Refused (Col. 4),Percentage of Cases to Total Cases for investigation in which investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 5),Percentage of Cases to Total Cases for investigation in which investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for investigation in which investigation was Completed - ChargeSheets were Submitted (Col. 7),Percentage of Cases to Total Cases for investigation in which investigation was Completed - Total = Col. {(5) + (6) + (7)} (Col. 8),No. of Cases Pending investigation (Col. 9),ChargeSheeting Rate = Col. (7 / 6+ 7 × 100) (Col. 10)
1,Murder,0,0,0.4,14.5,49.2,64.1,35.9,77.3
2,Rape,0,0.2,4.5,1.4,77.5,83.4,16.5,98.2
3,Kidnapping & Abduction,0,0,3.4,6.7,76.4,86.5,13.5,91.9
4,Dacoity,0,0,4.1,12.2,55.1,71.4,28.6,81.8
5,Robbery,0,0,0,38.5,33.8,72.3,27.7,46.8
6,Arson,4.7,0,9.3,7,62.8,79.1,16.3,90
7,Hurt,0,0.2,6.3,2.6,77,85.8,14,96.8
8,P.C.R. Act,0,0,5.7,3.8,67.9,77.4,22.6,94.7
9,SC/ST Prev. of Atrocities Act,0,0.1,14.9,1.5,61.5,77.8,22.1,97.7
10,Other Crimes Against SCs,0,0.3,10.3,4.6,67.8,82.7,17,93.7
Total,Total,0,0.2,9.8,4,67.3,81.1,18.7,94.3
