Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Trial Including Pending Cases (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases - Compounded or Withdrawn (Col.5),No. of Cases in which Trials Completed - Convicted (Col.6),No. of Cases in which Trials Completed - Acquitted or Discharged (Col.7),No. of Cases in which Trials Completed - Total (Col.8) = Col.{(6) + (7)) ,No. of Cases - Pending Trial (Col.9),Pendency Percentage (Col.10),Percentage of Pendency to All India Total (Col.11),Conviction Rate (Col.12)= Col.((6) / (8) × 100) 
State,Andhra Pradesh,5757,1,178,319,1617,1936,3643,63.3,3.9,16.5
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,53,0,1,5,27,32,20,37.7,0,15.6
State,Bihar,4330,5,54,151,382,533,3743,86.4,4,28.3
State,Chhattisgarh,2016,0,0,203,244,447,1569,77.8,1.7,45.4
State,Goa,3,0,0,0,1,1,2,66.7,0,0
State,Gujarat,8193,0,24,25,1033,1058,7111,86.8,7.7,2.4
State,Haryana,530,0,0,12,135,147,383,72.3,0.4,8.2
State,Himachal Pradesh,336,0,8,5,70,75,253,75.3,0.3,6.7
State,Jammu & Kashmir,23,0,0,1,2,3,20,87,0,33.3
State,Jharkhand,407,5,12,14,32,46,349,85.7,0.4,30.4
State,Karnataka,7248,0,21,30,1366,1396,5831,80.4,6.3,2.1
State,Kerala,2152,1,21,27,267,294,1837,85.4,2,9.2
State,Madhya Pradesh,18047,8,445,889,2665,3554,14048,77.8,15.2,25
State,Maharashtra,7877,0,31,30,729,759,7087,90,7.6,4
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,18,0,0,2,0,2,16,88.9,0,100
State,Orissa,5056,0,0,111,632,743,4313,85.3,4.7,14.9
State,Punjab,231,0,0,11,50,61,170,73.6,0.2,18
State,Rajasthan,10783,0,212,980,1657,2637,7934,73.6,8.6,37.2
State,Sikkim,7,0,0,2,1,3,4,57.1,0,66.7
State,Tamil Nadu,5335,1,7,403,1021,1424,3904,73.2,4.2,28.3
State,Tripura,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,35933,0,356,2675,2877,5552,30025,83.6,32.4,48.2
State,Uttaranchal,409,0,0,40,44,84,325,79.5,0.4,47.6
State,West Bengal,10,0,0,2,1,3,7,70,0,66.7
State,Total (States),114754,21,1370,5937,14853,20790,92594,80.7,99.9,28.6
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,7,0,0,0,0,0,7,100,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,90,0,0,0,7,7,83,92.2,0.1,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,31,0,1,0,6,6,24,77.4,0,0
Union Territory,Total (UTs),128,0,1,0,13,13,114,89.1,0.1,0
Total (All-India),Total (All-India),114882,21,1371,5937,14866,20803,92708,80.7,100,28.5
