Category,States/ UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Person Charge Sheeted,Number of - Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,1340,38,1009,293,21.9,18.2
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,23,6,9,8,34.8,0.5
State,Bihar,136,2,80,54,39.7,3.3
State,Chhattisgarh,569,6,554,9,1.6,0.6
State,Goa,75,6,42,27,36,1.7
State,Gujarat,706,1,671,34,4.8,2.1
State,Haryana,325,0,325,0,0,0
State,Himachal Pradesh,150,7,108,35,23.3,2.2
State,Jammu & Kashmir,53,0,53,0,0,0
State,Jharkhand,67,0,56,11,16.4,0.7
State,Karnataka,122,3,98,21,17.2,1.3
State,Kerala,406,47,195,164,40.4,10.2
State,Madhya Pradesh,3787,0,3648,139,3.7,8.6
State,Maharashtra,2492,54,2182,256,10.3,15.9
State,Manipur,91,86,1,4,4.4,0.2
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,133,0,133,0,0,0
State,Punjab,232,6,161,65,28,4
State,Rajasthan,145,0,145,0,0,0
State,Sikkim,18,0,18,0,0,0
State,Tamil Nadu,177,1,138,38,21.5,2.4
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,3032,33,2795,204,6.7,12.6
State,Uttaranchal,45,0,45,0,0,0
State,West Bengal,239,37,84,118,49.4,7.3
State,Total (States),14363,333,12550,1480,10.3,91.7
Union Territory,A & N Islands,4,0,1,3,75,0.2
Union Territory,Chandigarh,42,0,38,4,9.5,0.2
Union Territory,D & N Haveli,5,0,5,0,0,0
Union Territory,Daman & Diu,6,1,2,3,50,0.2
Union Territory,Delhi,604,9,478,117,19.4,7.2
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,21,4,10,7,33.3,0.4
Union Territory,Total (UTs),682,14,534,134,19.6,8.3
Total (All-India),Total (All-India),15045,347,13084,1614,10.7,100
