Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
State,Andhra Pradesh,4427
State,Arunachal Pradesh,6
State,Assam,132
State,Bihar,1275
State,Chhattisgarh,109
State,Goa,188
State,Gujarat,1143
State,Haryana,507
State,Himachal Pradesh,157
State,Jammu & Kashmir,276
State,Jharkhand,42
State,Karnataka,2538
State,Kerala,87
State,Madhya Pradesh,959
State,Maharashtra,6790
State,Manipur,0
State,Meghalaya,34
State,Mizoram,0
State,Nagaland,0
State,Orissa,350
State,Punjab,692
State,Rajasthan,630
State,Sikkim,41
State,Tamil Nadu,1719
State,Tripura,7
State,Uttar Pradesh,4327
State,Uttaranchal,282
State,West Bengal,3947
State,Total (States),30665
Union Territory,A & N Islands,0
Union Territory,Chandigarh,18
Union Territory,D & N Haveli,5
Union Territory,Daman & Diu,22
Union Territory,Delhi,2894
Union Territory,Lakshadweep,0
Union Territory,Pondicherry,52
Union Territory,Total (UTs),2991
Total (All-India),Total (All-India),33656
