Category,States/ UTs,Incidence,Percentage Contribution to All–India Total,Estimated Mid Year Population (In Lakhs),Rate of total Cognizable Crimes*,Rank per Rate of total cognizable crimes,Rank per Percentage share
State,Andhra Pradesh,571,9.7,778.73,0.7,9,4
State,Arunachal Pradesh,66,1.1,11.3,5.8,3,12
State,Assam,20,0.3,277.25,0.1,20,17
State,Bihar,52,0.9,867.74,0.1,21,14
State,Chhattisgarh,774,13.1,217.21,3.6,4,3
State,Goa,0,0,14.25,0,NA,NA
State,Gujarat,241,4.1,526.39,0.5,11,7
State,Haryana,0,0,220.4,0,NA,NA
State,Himachal Pradesh,12,0.2,62.49,0.2,17,18
State,Jammu & Kashmir,1,0,107.33,0,24,25
State,Jharkhand,108,1.8,280.03,0.4,12,10
State,Karnataka,167,2.8,543.7,0.3,13,9
State,Kerala,65,1.1,326.2,0.2,16,13
State,Madhya Pradesh,1779,30.2,633.66,2.8,5,1
State,Maharashtra,217,3.7,1003.09,0.2,15,8
State,Manipur,4,0.1,24.78,0.2,18,21
State,Meghalaya,0,0,23.9,0,NA,NA
State,Mizoram,0,0,9.23,0,NA,NA
State,Nagaland,263,4.5,20.75,12.7,1,6
State,Orissa,484,8.2,378.21,1.3,7,5
State,Punjab,0,0,251.13,0,NA,NA
State,Rajasthan,912,15.5,593.32,1.5,6,2
State,Sikkim,6,0.1,5.61,1.1,8,19
State,Tamil Nadu,67,1.1,635.87,0.1,19,11
State,Tripura,0,0,32.94,0,NA,NA
State,Uttar Pradesh,47,0.8,1743.8,0,23,15
State,Uttaranchal,5,0.1,88.25,0.1,22,20
State,West Bengal,3,0.1,828.33,0,25,22
State,Total (States),5864,99.6,10505.89,0.6,NA,NA
Union Territory,A & N Islands,1,0,3.73,0.3,14,24
Union Territory,Chandigarh,0,0,9.55,0,NA,NA
Union Territory,D & N Haveli,23,0.4,2.33,9.9,2,16
Union Territory,Daman & Diu,1,0,1.68,0.6,10,23
Union Territory,Delhi,0,0,148.28,0,NA,NA
Union Territory,Lakshadweep,0,0,0.63,0,NA,NA
Union Territory,Pondicherry,0,0,10.05,0,NA,NA
Union Territory,Total (UTs),25,0.4,176.25,0.1,NA,NA
Total (All-India),Total (All-India),5889,100,10682.14,0.6,NA,NA
