Sr.No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col.4),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Convicted (Col.5),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Acquitted or Discharged (Col.6),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Total (Col.7) = Col.{(5) + (6)},Percentage of Cases to Total Cases for Trial - Pending Trial (Col.8),Conviction Rate (Col.9) = Col.{(5)/(7) × 100}
1,Murder,0,0.2,5.2,10.1,15.4,84.4,34.1
2,Attempt to Commit Murder,0,0.3,4.6,11.8,16.5,83.2,28.1
3,C.H. not Amounting to Murder,0,0.2,5.2,11.1,16.3,83.5,31.9
4,Rape - Total,0.2,0.3,4.9,13.8,18.7,81,26.1
5,Rape - I) Custodial Rape,0,0,0,100,0,0,0
6,Rape - II) Other Rape,0.2,0.3,4.9,13.8,18.7,81,26.1
7,Kidnapping & Abduction - Total,0,0.6,3.2,10.3,13.5,86,23.8
8,Kidnapping & Abduction - I) of Women & Girls,0,0.7,3.1,10.1,13.2,86.1,23.6
9,Kidnapping & Abduction - II) of Others,0,0.3,3.4,10.7,14.1,85.7,24.2
10,Dacoity,0,0.1,2.5,9.1,11.6,88.4,21.4
11,Preparation & Assembly for Dacoity,0.3,0.3,3.2,13.1,16.4,83.3,19.8
12,Robbery,0,0.3,2.9,8,10.9,88.8,26.7
13,Burglary,0,0.6,4.4,8.5,12.9,86.5,34
14,Theft - Total,0,0.4,5,8.3,13.3,86.3,37.8
15,Theft - I) Auto Theft,0,0.3,5.3,7.4,12.7,87.1,41.9
16,Theft - II) Other Theft,0,0.5,5,8.4,13.4,86.1,37
17,Riots,0,1.8,2.5,8.4,10.9,87.3,23.2
18,Criminal Breach of Trust,0,0.8,2,6.2,8.2,91.1,24.4
19,Cheating,0,1.3,2.4,6.1,8.5,90.2,28
20,Counterfeiting,0,0.2,3.4,8.2,11.6,88.2,29.6
21,Arson,0,0.7,2.9,12.1,15,84.3,19.5
22,Hurt,0,6,4.7,8.8,13.5,80.5,34.8
23,Dowry Death,0,0.5,6,12.5,18.5,81.1,32.4
24,Molestation,0,4.6,4.1,9.6,13.7,81.7,30.2
25,Sexual Harassment,0,2.8,19.8,11.7,31.5,65.7,62.9
26,Cruelty by Husband and Relatives,0,2.3,2.3,10.4,12.7,85,18.1
27,Importation of Girls,0,0,0.7,5.5,6.2,93.8,11.1
28,Causing Death by Negligence,0,0.7,6.7,9.5,16.2,83,41.5
29,Other IPC Crimes,0,2.7,7.9,8.3,16.3,81,48.8
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,0,2.5,5.9,8.7,14.6,82.9,40.1
