Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Thefts - Total,Thefts - Auto Theft,Thefts - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,Andhra Pradesh,40,22,2,56,0,56,27,20,7,11,0,13,269,503,67,436,105,0,9,1,6,365,3,54,67,12,0,13,264,1842
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,2,40,51,0,51,3,0,0,0,0,30,0,0,0,0,0,0,70,196
State,Assam,9,0,0,8,0,8,10,2,8,0,0,0,77,186,0,186,56,8,0,0,0,1,0,0,0,0,0,0,23,378
State,Bihar,15,12,1,4,0,4,8,0,8,6,2,13,22,33,1,32,36,0,6,2,1,52,4,0,0,5,0,0,43,265
State,Chhattisgarh,30,16,2,61,0,61,3,2,1,5,1,10,298,212,40,172,79,3,2,0,7,164,3,41,2,28,0,0,472,1439
State,Goa,4,0,0,0,0,0,1,1,0,0,0,2,43,24,8,16,1,0,0,0,0,2,0,0,0,0,0,1,6,84
State,Gujarat,44,40,1,13,0,13,36,32,4,5,0,20,189,414,134,280,166,4,7,1,8,292,2,14,0,44,0,6,444,1750
State,Haryana,36,44,9,17,0,17,19,14,5,1,21,12,124,148,42,106,129,48,23,1,3,311,2,13,91,29,0,1,369,1451
State,Himachal Pradesh,2,1,1,8,0,8,0,0,0,0,0,0,26,8,2,6,29,0,0,0,0,16,0,3,0,2,0,1,23,120
State,Jammu & Kashmir,0,5,0,1,0,1,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
State,Jharkhand,9,68,0,11,0,11,7,7,0,43,1,7,10,76,8,68,142,0,16,2,0,57,0,23,2,0,0,0,235,709
State,Karnataka,6,5,0,1,0,1,0,0,0,0,0,9,94,98,13,85,19,0,0,0,0,50,0,2,0,2,0,0,14,300
State,Kerala,5,1,0,7,0,7,0,0,0,6,0,3,41,103,9,94,145,0,0,0,0,159,0,4,0,6,0,1,116,597
State,Madhya Pradesh,94,150,4,189,0,189,41,28,13,8,4,41,497,592,106,486,259,0,5,0,8,1190,31,403,96,58,0,21,3349,7040
State,Maharashtra,132,79,1,58,0,58,26,19,7,53,17,82,644,1146,212,934,445,4,23,0,6,973,15,79,21,79,0,25,643,4551
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,4,2,1,6,0,6,0,0,0,5,0,0,1,7,0,7,0,0,0,0,0,2,0,0,0,0,0,0,4,32
State,Mizoram,1,0,0,3,0,3,0,0,0,1,0,0,13,12,0,12,0,0,0,0,0,2,0,1,0,0,0,0,15,48
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,12,4,0,12,0,12,2,2,0,5,0,0,55,122,0,122,12,0,1,0,1,15,0,5,4,0,0,0,63,313
State,Punjab,4,8,1,3,0,3,0,0,0,0,0,0,20,16,6,10,0,0,0,0,0,9,3,5,0,3,0,0,28,100
State,Rajasthan,48,76,0,35,0,35,25,25,0,2,0,11,216,270,79,191,146,0,34,1,3,297,3,36,0,28,0,3,406,1640
State,Sikkim,3,0,0,2,0,2,0,0,0,0,0,0,2,3,0,3,1,0,0,0,0,1,0,1,0,0,0,0,4,17
State,Tamil Nadu,26,13,0,9,0,9,6,6,0,2,1,14,129,342,24,318,13,0,2,0,0,71,0,38,36,1,0,8,102,813
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,4,0,0,0,0,0,11,11,0,0,0,0,2,10,0,10,7,0,0,0,0,1,0,0,5,0,0,0,18,58
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4
State,West Bengal,1,0,1,4,0,4,0,0,0,9,0,1,1,14,0,14,1,0,0,0,0,0,0,3,0,0,0,0,5,40
State,Total (States),529,546,24,508,0,508,222,169,53,162,47,240,2823,4392,751,3641,1794,67,128,8,43,4060,66,727,326,297,0,80,6716,23805
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
Union Territory,Chandigarh,1,1,0,2,0,2,0,0,0,3,0,1,8,60,22,38,16,0,0,0,0,9,0,0,0,0,0,0,10,111
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Union Territory,Delhi,48,18,1,24,0,24,11,9,2,5,0,24,107,269,41,228,0,3,13,0,0,53,0,11,1,0,0,0,157,745
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,3,0,0,1,0,1,1,1,0,0,0,0,7,18,1,17,0,0,0,0,1,2,0,0,0,0,0,0,2,35
Union Territory,Total (UTs),52,19,1,27,0,27,12,10,2,8,0,25,122,347,64,283,18,3,14,0,1,64,0,11,1,0,0,0,179,904
Total (All-India),Total (All-India),581,565,25,535,0,535,234,179,55,170,47,265,2945,4739,815,3924,1812,70,142,8,44,4124,66,738,327,297,0,80,6895,24709
