Category,States/ UTs,Number of - Death Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered/ Conducted,Number of - Judicial Enquiry Ordered/Conducted,Number of - Cases Regd. in Connection With Deaths,Number of - Policemen Charge Sheeted,Number of - Policemen Convicted
State,Andhra Pradesh,0,0,0,0,0,0,0
State,Arunachal Pradesh,1,0,1,0,1,0,0
State,Assam,0,0,0,0,0,0,0
State,Bihar,2,2,2,0,2,0,0
State,Chhattisgarh,1,1,1,0,0,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,5,4,2,1,2,0,0
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,1,1,1,0,0,0,0
State,Maharashtra,9,9,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,1,0,1,0,1,1,0
State,Mizoram,2,0,2,0,2,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0
State,Punjab,3,1,3,0,2,2,0
State,Rajasthan,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,5,5,4,1,5,1,0
State,Uttaranchal,0,0,0,0,0,0,0
State,West Bengal,3,3,3,0,0,0,0
State,Total (States),33,26,20,2,15,4,0
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),33,26,20,2,15,4,0
