Category,States/ UTs,DG/ Addl.DG / IG / DIG - Sanctioned,DG/ Addl.DG / IG / DIG - Actual,SSP/SP/Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,3,3,162,162,165,165
State,Bihar,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,3,4,3,4
State,Goa,0,0,0,0,0,0,0,17,0,17
State,Gujarat,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,1,0,5,6,126,6,132
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,13,0,13
State,Karnataka,0,0,1,0,43,0,802,20,846,20
State,Kerala,0,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,0,0,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,1,0,0,0,0,0,1
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,1,1,0,0,0,0,1,1
State,Orissa,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,1,0,0,0,0,0,1
State,Tamil Nadu,0,0,0,0,0,0,2941,2941,2941,2941
State,Tripura,0,0,0,0,4,0,36,0,40,0
State,Uttar Pradesh,0,1,0,4,0,0,0,0,0,5
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0
State,Total (States),0,1,2,8,50,8,3950,3283,4002,3300
Union Territory,A & N Islands,0,0,0,0,0,1,0,23,0,24
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,1,3,51,96,52,99
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,1,4,51,119,52,123
Total (All-India),Total (All-India),0,1,2,8,51,12,4001,3402,4054,3423
