Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in which - Investigation was Refused (Col. 5),No. of Cases in which Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which Investigation was Completed - Final Report True Submitted (Col. 7),No. of Cases in which Investigation was Completed - ChargeSheets were Submitted (Col. 8),No. of Cases in which Investigation was Completed - Total = Col. {(6) + (7) + (8)} (Col. 9),No. of Cases Pending investigation (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All india Total (Col. 12),ChargeSheeting Rate = Col. ((8) / (7+8) × 100) (Col. 13)
State,Andhra Pradesh,738,0,3,104,22,370,496,239,32.4,18,94.4
State,Arunachal Pradesh,66,0,0,0,15,40,55,11,16.7,0.8,72.7
State,Assam,39,0,0,0,7,11,18,21,53.8,1.6,61.1
State,Bihar,85,0,0,1,4,32,37,48,56.5,3.6,88.9
State,Chhattisgarh,874,0,8,7,13,722,742,124,14.2,9.3,98.2
State,Goa,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,259,0,0,11,19,219,249,10,3.9,0.8,92
State,Haryana,1,0,0,0,1,0,1,0,0,0,0
State,Himachal Pradesh,13,0,0,6,0,4,10,3,23.1,0.2,100
State,Jammu & Kashmir,1,0,0,0,0,1,1,0,0,0,100
State,Jharkhand,211,0,0,0,10,82,92,119,56.4,9,89.1
State,Karnataka,217,0,0,20,2,159,181,36,16.6,2.7,98.8
State,Kerala,156,0,0,26,5,47,78,78,50,5.9,90.4
State,Madhya Pradesh,1931,0,0,27,20,1675,1722,209,10.8,15.7,98.8
State,Maharashtra,255,0,0,7,3,201,211,44,17.3,3.3,98.5
State,Manipur,4,0,0,0,1,1,2,2,50,0.2,50
State,Meghalaya,1,0,0,0,0,0,0,1,100,0.1,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,459,2,0,0,129,159,288,169,36.8,12.7,55.2
State,Orissa,680,0,2,83,25,449,557,121,17.8,9.1,94.7
State,Punjab,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,965,0,0,379,2,512,893,72,7.5,5.4,99.6
State,Sikkim,6,0,0,0,0,6,6,0,0,0,100
State,Tamil Nadu,72,0,0,17,0,45,62,10,13.9,0.8,100
State,Tripura,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,48,0,0,6,9,31,46,2,4.2,0.2,77.5
State,Uttaranchal,5,0,0,0,0,4,4,1,20,0.1,100
State,West Bengal,8,0,0,1,0,6,7,1,12.5,0.1,100
State,Total (States),7094,2,13,695,287,4776,5758,1321,18.6,99.4,94.3
Union Territory,A & N Islands,1,0,0,0,0,0,0,1,100,0.1,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,23,0,0,0,1,15,16,7,30.4,0.5,93.8
Union Territory,Daman & Diu,1,0,0,0,0,1,1,0,0,0,100
Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,1,0,0,0,0,1,1,0,0,0,100
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),26,0,0,0,1,17,18,8,30.8,0.6,94.4
Total (All-India),Total (All-India),7120,2,13,695,288,4793,5776,1329,18.7,100,94.3
