Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,1597,10,376,1211,95,75.8,3.2
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,22,0,4,18,1,81.8,0
State,Bihar,262,7,25,230,22,87.8,0.6
State,Chhattisgarh,1245,0,129,1116,69,89.6,3
State,Goa,119,3,32,84,9,70.6,0.2
State,Gujarat,2739,7,375,2357,105,86.1,6.2
State,Haryana,795,0,317,478,68,60.1,1.3
State,Himachal Pradesh,301,7,84,210,13,69.8,0.6
State,Jammu & Kashmir,99,0,3,96,0,97,0.3
State,Jharkhand,206,0,53,153,0,74.3,0.4
State,Karnataka,225,1,46,178,0,79.1,0.5
State,Kerala,855,26,53,776,8,90.8,2.1
State,Madhya Pradesh,8218,453,1665,6100,540,74.2,16.1
State,Maharashtra,8356,15,570,7771,79,93,20.6
State,Manipur,1,0,0,1,0,100,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,384,0,42,342,11,89.1,0.9
State,Punjab,397,0,122,275,52,69.3,0.7
State,Rajasthan,532,1,92,439,52,82.5,1.2
State,Sikkim,26,0,8,18,6,69.2,0
State,Tamil Nadu,250,2,45,203,24,81.2,0.5
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,17502,18,3419,14065,1961,80.4,37.2
State,Uttaranchal,193,0,13,180,8,93.3,0.5
State,West Bengal,190,26,72,92,3,48.4,0.2
State,Total (States),44514,576,7545,36393,3126,81.8,96.3
Union Territory,A & N Islands,18,0,0,18,0,100,0
Union Territory,Chandigarh,153,0,23,130,8,85,0.3
Union Territory,D & N Haveli,5,0,0,5,0,100,0
Union Territory,Daman & Diu,2,0,0,2,0,100,0
Union Territory,Delhi,1330,0,123,1207,35,90.8,3.2
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,20,0,2,18,2,90,0
Union Territory,Total (UTs),1528,0,148,1380,45,90.3,3.7
Total (All-India),Total (All-India),46042,576,7693,37773,3171,82,100
