Category,States/ UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
State,Andhra Pradesh,46,0,442,30,1216,108,1704,138,1842
State,Arunachal Pradesh,7,1,88,0,100,0,195,1,196
State,Assam,55,4,181,19,77,42,313,65,378
State,Bihar,14,0,149,1,93,8,256,9,265
State,Chhattisgarh,63,5,735,18,609,9,1407,32,1439
State,Goa,6,1,40,0,37,0,83,1,84
State,Gujarat,35,6,659,52,889,109,1583,167,1750
State,Haryana,13,0,315,13,1060,50,1388,63,1451
State,Himachal Pradesh,3,0,56,7,48,6,107,13,120
State,Jammu & Kashmir,1,0,17,0,0,0,18,0,18
State,Jharkhand,237,0,311,22,136,3,684,25,709
State,Karnataka,37,0,185,7,60,11,282,18,300
State,Kerala,1,4,116,13,312,151,429,168,597
State,Madhya Pradesh,355,27,2257,150,4017,234,6629,411,7040
State,Maharashtra,173,20,1824,143,2200,191,4197,354,4551
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,1,8,0,22,1,30,2,32
State,Mizoram,1,0,19,1,27,0,47,1,48
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,40,4,160,5,102,2,302,11,313
State,Punjab,5,1,45,2,39,8,89,11,100
State,Rajasthan,36,0,569,24,879,132,1484,156,1640
State,Sikkim,0,0,0,0,16,1,16,1,17
State,Tamil Nadu,57,11,311,22,348,64,716,97,813
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,30,3,25,0,55,3,58
State,Uttaranchal,0,0,4,0,0,0,4,0,4
State,West Bengal,3,0,15,1,21,0,39,1,40
State,Total (States),1188,85,8536,533,12333,1130,22057,1748,23805
Union Territory,A & N Islands,0,0,0,0,3,6,3,6,9
Union Territory,Chandigarh,0,6,76,4,25,0,101,10,111
Union Territory,D & N Haveli,0,0,1,0,1,0,2,0,2
Union Territory,Daman & Diu,0,0,2,0,0,0,2,0,2
Union Territory,Delhi,16,1,299,6,409,14,724,21,745
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,1,0,14,0,20,0,35,0,35
Union Territory,Total (UTs),17,7,392,10,458,20,867,37,904
Total (All-India),Total (All-India),1205,92,8928,543,12791,1150,22924,1785,24709
