Category,States/UTs/Cities,Public Servant Offences by/Against,False electronic evidence,Destruction of electronic evidence,Forgery,Criminal Breach of Trust/Fraud,Property/mark - Counterfeiting,Property/mark - Tampering,Property/mark - Currency/Stamps,Total
State,Andhra Pradesh,0,0,0,4,178,0,5,31,218
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0,0,0
State,Gujarat,0,0,0,4,7,0,0,4,15
State,Haryana,0,0,0,0,1,0,0,0,1
State,Himachal Pradesh,0,0,0,36,48,3,0,0,87
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,1,0,0,0,0,1
State,Kerala,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,4,1,0,0,0,5
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,1,1,0,2,4
State,Punjab,0,0,0,27,30,0,3,1,61
State,Rajasthan,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,3,3
State,Uttaranchal,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0
State,Total (States),0,0,0,76,266,4,8,41,395
Union Territory,A & N Islands,0,0,0,13,3,0,0,0,16
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,13,3,0,0,0,16
Total (All-India),Total (All-India),0,0,0,89,269,4,8,41,411
City,Agra,0,0,0,0,0,0,0,0,0
City,Ahmedabad,0,0,0,1,0,0,0,0,1
City,Allahabad,0,0,0,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0,0,0,0
City,Asansol,0,0,0,0,0,0,0,0,0
City,Bangalore,0,0,0,1,0,0,0,0,1
City,Bhopal,0,0,0,0,0,0,0,0,0
City,Chennai,0,0,0,0,0,0,0,0,0
City,Coimbatore,0,0,0,0,0,0,0,0,0
City,Delhi (CITY),0,0,0,0,0,0,0,0,0
City,Dhanbad,0,0,0,0,0,0,0,0,0
City,Faridabad,0,0,0,0,1,0,0,0,1
City,Hyderabad,0,0,0,0,0,0,0,0,0
City,Indore,0,0,0,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0
City,Kanpur,0,0,0,0,0,0,0,0,0
City,Kochi,NA,NA,NA,NA,NA,NA,NA,NA,0
City,Kolkata,0,0,0,0,0,0,0,0,0
City,Lucknow,0,0,0,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0,0,0,0
City,Meerut,0,0,0,0,2,0,0,0,2
City,Mumbai,0,0,0,8,2,0,0,0,10
City,Nagpur,0,0,0,0,0,0,0,0,0
City,Nasik,0,0,0,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0,0,0,0
City,Pune,0,0,0,0,0,0,0,0,0
City,Rajkot,0,0,0,0,2,0,0,0,2
City,Surat,0,0,3,0,5,0,0,4,12
City,Vadodara,0,0,0,0,0,0,0,0,0
City,Varanasi,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vijayawada,0,0,0,0,0,0,0,0,0
City,Vishakhapatnam,0,0,0,0,0,0,0,0,0
City,Total (Cities),0,0,3,10,12,0,0,4,29
