Sr. No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to Total Cases for investigation in which - investigation was Refused (Col.4),Percentage of Cases to Total Cases for investigation in which investigation was Completed - Charge Found False / Mistake of Fact or Law Etc. (Col.5),Percentage of Cases to Total Cases for investigation in which investigation was Completed - Final Report True Submitted (Col.6),Percentage of Cases to Total Cases for investigation in which investigation was Completed - ChargeSheets were Submitted (Col.7),Percentage of Cases to Total Cases for investigation in which investigation was Completed - Total = Col.{(5) + (6) + (7)} (Col.8),No. of Cases Pending investigation (Col.9),ChargeSheeting Rate (Col.10) = Col.(7 / 6 + 7 × 100)
1,Infanticide,0,0.8,5,42.5,45.8,93.3,5.8,51.9
2,Murder,0,0.3,3,8.7,68.4,80.1,19.6,88.7
3,Rape,0,0.2,2,1.5,80,83.5,16.3,98.1
4,Kid. & Abduction,0,0.2,8,10.9,62.2,81.1,18.6,85.1
5,Foeticide,0,1.1,6.9,42.5,20.7,70.1,28.7,32.7
6,Abetment of Suicide,0,0,8.6,20,60,88.6,11.4,75
7,Exposure and Abandonment,0,0.7,1,71.4,12.3,84.7,14.6,14.7
8,Procuration of Minor Girls,0,0.5,8.4,12.8,53.7,74.9,24.6,80.7
9,Buying of Girls for Prostitution,0,0,0,11.1,66.7,77.8,22.2,85.7
10,Selling of Girls for Prostitution,0,0,0,2.7,48.6,51.4,48.6,94.7
11,Child Marriage Restraint Act,0,0,11.5,1.3,73.1,85.9,14.1,98.3
12,Other Crimes,0,0.2,2.2,5.4,84.4,91.9,7.9,94
Total,Total,0,0.2,3.7,10.9,70.4,85,14.7,86.6
