Category,States/ UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
State,Andhra Pradesh,1,0,22,2,679,127,702,129,831
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,17,0,6,4,23,4,27
State,Chhattisgarh,7,0,73,2,81,0,161,2,163
State,Goa,0,0,1,0,2,0,3,0,3
State,Gujarat,23,2,172,21,690,59,885,82,967
State,Haryana,0,0,85,1,484,5,569,6,575
State,Himachal Pradesh,0,0,0,0,4,0,4,0,4
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,40,0,72,0,112,0,112
State,Karnataka,0,0,2,0,54,2,56,2,58
State,Kerala,0,0,4,2,119,42,123,44,167
State,Madhya Pradesh,7,0,205,5,409,6,621,11,632
State,Maharashtra,19,0,109,4,379,8,507,12,519
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,3,0,0,0,3,0,3
State,Mizoram,0,0,10,22,2,0,12,22,34
State,Nagaland,0,0,1,0,0,0,1,0,1
State,Orissa,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,1,31,0,31,1,32
State,Rajasthan,0,3,64,0,153,2,217,5,222
State,Sikkim,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,2151,73,1289,30,443,96,3883,199,4082
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,1,1,1,0,2,1,3
State,Uttaranchal,0,0,0,0,18,8,18,8,26
State,West Bengal,1,0,3,0,57,22,61,22,83
State,Total (States),2209,78,2101,91,3684,381,7994,550,8544
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,5,0,0,0,5,0,5
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,17,0,40,0,57,0,57
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,2,0,3,0,5,0,5
Union Territory,Total (UTs),0,0,24,0,43,0,67,0,67
Total (All-India),Total (All-India),2209,78,2125,91,3727,381,8061,550,8611
