Purpose,Total No. of Cases Reported,Upto 10 Years - Male,Upto 10 Years - Female,10 - 15 Years - Male,10 - 15 Years - Female,15 - 18 Years - Male,15 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 50 Years - Male,30 - 50 Years - Female,Above 50 Years - Male,Above 50 Years - Female,Total - Male,Total - Female,- Grand Total
For Adoption,60,6,5,0,1,0,9,14,18,7,0,0,0,27,33,60
For Begging,7,2,4,0,0,0,0,0,1,0,0,0,0,2,5,7
For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Illicit Intercourse,1618,1,8,1,163,1,209,27,1020,6,159,1,9,37,1568,1605
For Marriage,8448,2,8,9,343,12,995,213,5959,42,814,0,22,278,8141,8419
For Prostitution,172,0,1,0,15,0,42,0,96,0,27,0,0,0,181,181
For Ransom,1129,51,13,52,6,47,4,519,56,268,33,39,2,976,114,1090
For Revenge,740,5,7,10,4,33,5,340,92,165,33,27,5,580,146,726
For Sale,18,2,7,0,1,0,3,0,9,0,0,0,0,2,20,22
For Selling Body Parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Slavery,65,0,0,1,2,3,0,41,18,0,0,0,0,45,20,65
For Unlawaful Activity,707,10,5,25,20,20,29,260,149,158,63,7,1,480,267,747
Others,7028,147,84,116,111,137,233,2388,1893,1360,463,142,25,4290,2809,7099
Total,19992,226,142,214,666,253,1529,3802,9311,2006,1592,216,64,6717,13304,20021
