Category,States/UTs/Cities,Below 18 years,Between 18 – 30 years,Between 30 – 45 years,Between 45 – 60 years,Above 60 years,Total
State,Andhra Pradesh,0,0,1,0,0,1
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0
State,Goa,0,1,0,1,0,2
State,Gujarat,1,12,3,3,0,19
State,Haryana,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0
State,Karnataka,1,5,1,0,0,7
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0
State,Maharashtra,0,11,1,2,0,14
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0
State,Punjab,1,1,0,0,0,2
State,Rajasthan,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0
State,Tamil Nadu,0,0,6,0,0,6
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,0,1,0,0,0,1
State,Uttaranchal,1,0,1,1,0,3
State,West Bengal,0,0,0,0,0,0
State,Total (States),4,31,13,7,0,55
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0
Total (All-India),Total (All-India),4,31,13,7,0,55
City,Agra,0,0,0,0,0,0
City,Ahmedabad,1,9,4,3,0,17
City,Allahabad,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0
City,Asansol,0,0,0,0,0,0
City,Bangalore,1,5,1,0,0,7
City,Bhopal,0,0,0,0,0,0
City,Chennai,0,3,3,0,0,6
City,Coimbatore,0,0,0,0,0,0
City,Delhi (CITY),0,0,0,0,0,0
City,Dhanbad,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0
City,Hyderabad,0,0,0,0,0,0
City,Indore,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0
City,Kanpur,0,1,0,0,0,1
City,Kochi,NA,NA,NA,NA,NA,NA
City,Kolkata,0,0,0,0,0,0
City,Lucknow,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0
City,Mumbai,0,4,3,2,0,9
City,Nagpur,0,0,0,0,0,0
City,Nasik,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0
City,Pune,0,5,1,0,0,6
City,Rajkot,0,0,0,0,0,0
City,Surat,0,1,1,0,0,2
City,Vadodara,0,0,0,0,0,0
City,Varanasi,NA,NA,NA,NA,NA,NA
City,Vijayawada,0,0,0,0,0,0
City,Vishakhapatnam,0,0,0,0,0,0
City,Total (Cities),2,28,13,5,0,48
