Category,States/ UTs/Cities,Tampering Computer Source Department (Sec. 65),Hacking - Loss / damage to computer resource / Utility (Sec. 66(1),Hacking - Hacking (Sec. 66(2),Obscene Publication / Transmission in Electronic form Sec. 67,Failure - of compliance / orders of certifying Authority (Sec. 68),Failure - to assist to decoy or the information in interception by Govt. Agency (Sec. 69),Unauthorised access / attempt to access of protected Computer system (Sec. 70),Obtaining Licence or Digital Signature by misrepresentation / supression of fact (Sec. 71),Publishing False digital Signature certificate (Sec. 73),Fraud Digital / Signature (Sec. 74),Breach of confidentiality/ privacy (Sec. 72),Other,Total
State,Andhra Pradesh,0,0,1,1,0,0,0,0,0,0,1,0,3
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,1,0,0,1,0,0,0,0,0,0,0,0,2
State,Gujarat,4,0,1,2,0,6,0,0,0,0,0,0,19
State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,6,1,0,0,0,0,0,0,0,0,7
State,Kerala,0,0,0,0,0,0,0,0,0,0,1,0,1
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,2,3,0,5,0,0,1,0,0,1,0,0,12
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,1,0,0,0,0,0,0,0,0,0,0,1
State,Punjab,0,0,0,2,0,0,0,0,0,0,0,0,2
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,6,0,4,0,0,0,0,0,0,0,0,10
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,1,0,0,0,0,0,0,0,0,1
State,Uttaranchal,0,0,0,3,0,0,0,0,0,0,0,0,3
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),8,10,8,19,0,6,1,0,0,1,2,0,55
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,1,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,0,3,0,1,0,0,0,0,0,0,0,0,4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,3,0,1,0,0,0,0,0,0,1,0,4
Total (All-India),Total (All-India),8,13,8,20,0,6,1,0,0,1,3,0,60
City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ahmedabad,3,0,0,2,0,6,0,0,0,0,0,0,11
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Amritsar,0,0,0,1,0,0,0,0,0,0,0,0,1
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bangalore,1,0,5,1,0,0,0,0,0,0,0,0,7
City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Chennai,4,0,0,2,0,0,0,0,0,0,0,0,6
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Delhi (CITY),0,3,0,1,0,0,0,0,0,0,0,0,4
City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Hyderabad,0,1,0,1,0,0,0,0,0,0,1,0,3
City,Indore,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,0,0,0,1,0,0,0,0,0,0,0,0,1
City,Kochi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Meerut,1,0,0,0,0,0,0,0,0,0,0,0,1
City,Mumbai,0,3,0,2,0,0,0,0,0,0,0,0,5
City,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Pune,0,2,0,0,2,0,0,0,0,0,0,0,4
City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Surat,1,0,1,0,0,0,0,0,0,0,0,0,2
City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Varanasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Total (Cities),10,9,6,11,2,6,0,0,0,0,1,0,45
