Sr. No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col.4),Percentage of Cases to Total Cases for Trial No. of Cases in which Trials were Completed - Convicted (Col.5),Percentage of Cases to Total Cases for Trial No. of Cases in which Trials were Completed - Acquitted Discharged (Col.6),Percentage of Cases to Total Cases for Trial No. of Cases in which Trials were Completed - Total = Col.{(5) + (6)} (Col.7),Percentage of Cases to Total Cases for Trial - Pending Trial (Col.8),Conviction Rate (Col.9) = Col.(5 / 7 ×100)
1,Infanticide,0,0,14.7,14.2,28.9,71.1,50.8
2,Murder,0.1,0.2,6.9,10.5,17.4,82.4,39.6
3,Rape,0,0.2,5.4,10.3,15.7,84.1,34.3
4,Kid. & Abduction,0,0.2,5.4,8.7,14.1,85.7,38.3
5,Foeticide,0,0,3.3,16.7,20,80,16.7
6,Abetment of Suicide,0,0,3.9,26,29.9,70.1,13
7,Exposure and Abandonment,0,0.5,0.9,7.8,8.7,90.8,10.5
8,Procuration of Minor Girls,0,2,4.2,12.1,16.4,81.6,25.9
9,Buying of Girls for Prostitution,0,4.9,2.4,56.1,58.5,36.6,4.2
10,Selling of Girls for Prostitution,0,0,0,2.9,2.9,97.1,0
11,Child Marriage Restraint Act,0,0.3,5.4,7,12.4,87.3,43.5
12,Other Crimes,0,3.2,7.1,9.2,16.3,80.5,43.4
13,Total,0,1.3,6.1,9.6,15.8,82.9,38.8
