States/ UTs,Cities,Murder,Attempt to Commit Murder,Culpable Homicide not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping & Abduction - Total,Kidnapping & Abduction - Women & Girls,Kidnapping & Abduction - Others,Dacoity,Prepration & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Andhra Pradesh,Cyberabad,155,101,4,31,0,31,102,62,40,14,0,56,1041,1489,291,1198,49,67,691,8,45,1203,25,96,78,543,1,787,3719,10305
Andhra Pradesh,Hyderabad,124,132,5,57,0,57,155,64,91,18,1,91,1875,6574,2195,4379,231,158,2093,21,68,4595,42,165,296,1082,0,489,1980,20252
Andhra Pradesh,Vijayawada,34,58,0,27,0,27,63,45,18,5,0,61,876,3417,351,3066,17,54,816,27,21,2101,7,170,146,1208,0,249,727,10084
Andhra Pradesh,Visakhapatnam,19,21,0,9,0,9,30,20,10,4,0,5,281,532,174,358,1,81,290,24,3,362,3,11,30,146,0,195,1214,3261
Assam,Guwahati,50,29,3,38,0,38,216,184,32,26,2,100,606,1157,248,909,415,168,213,7,7,527,4,52,0,135,0,171,1664,5590
Bihar,Patna,260,384,25,15,0,15,150,11,139,59,25,594,377,1367,654,713,127,150,312,23,31,173,35,31,0,80,0,148,2179,6545
Chhattisgarh,Durg,36,24,0,24,0,24,10,9,1,1,3,27,326,402,184,218,17,5,58,3,12,267,10,90,15,16,1,0,2321,3668
Chhattisgarh,Raipur,18,38,2,36,0,36,22,16,6,1,0,24,311,618,331,287,21,10,107,4,51,331,2,52,6,69,0,115,1828,3620
Gujarat,Ahmedabad,90,68,3,18,0,18,157,96,61,31,6,365,959,5377,2287,3090,212,294,394,6,10,1371,3,50,30,595,0,173,5987,16199
Gujarat,Bhavnagar,16,12,0,3,0,3,22,13,9,5,0,21,121,330,182,148,46,22,56,5,4,0,0,1,7,18,0,0,836,1525
Gujarat,Rajkot,37,12,1,5,0,5,34,30,4,7,0,51,350,1525,655,870,98,38,77,10,16,357,5,8,13,158,0,87,1913,4802
Gujarat,Surat,75,16,5,25,0,25,62,40,22,16,3,57,388,1749,1192,557,64,54,239,21,7,428,19,17,2,126,0,234,794,4401
Gujarat,Vadodara,38,28,1,8,0,8,36,31,5,6,0,44,434,1385,692,693,195,97,197,2,20,366,0,17,5,136,0,123,2574,5712
Haryana,Faridabad,29,14,1,15,0,15,41,34,7,2,12,5,189,498,356,142,48,74,30,5,0,123,4,7,778,76,0,6,2030,3987
Jharkhand,Dhanbad,36,10,2,21,0,21,25,22,3,14,3,21,82,231,28,203,102,2,32,0,0,307,11,5,0,2,0,0,1023,1929
Jharkhand,Jamshedpur,71,112,2,48,0,48,43,40,3,21,4,47,157,553,122,431,145,25,91,0,3,352,16,27,0,73,0,153,607,2550
Karnataka,Bangalore,216,280,1,34,0,34,132,11,121,46,46,311,1713,7123,2682,4441,273,241,1780,87,0,3847,34,213,39,213,0,84,12547,29260
Karnataka,Belgaum,12,11,1,1,0,1,9,4,5,3,2,32,84,139,62,77,35,13,65,2,5,90,0,8,4,3,0,1,367,887
Karnataka,Gulbarga,7,9,0,3,0,3,10,6,4,1,2,14,77,92,36,56,31,1,34,0,10,127,0,17,0,36,0,1,315,787
Karnataka,Hubli Dharwad,23,18,0,3,0,3,11,4,7,4,1,16,126,288,118,170,80,6,81,0,0,183,3,3,9,28,0,4,906,1793
Karnataka,Mysore,26,22,0,8,0,8,9,7,2,3,1,49,132,324,127,197,47,17,43,3,0,361,5,14,0,44,0,0,711,1819
