Sl. No.,Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
1,State,Andhra Pradesh,5355
2,State,Arunachal Pradesh,4
3,State,Assam,45
4,State,Bihar,1074
5,State,Chhattisgarh,117
6,State,Goa,272
7,State,Gujarat,1907
8,State,Haryana,713
9,State,Himachal Pradesh,279
10,State,Jammu & Kashmir,85
11,State,Jharkhand,334
12,State,Karnataka,2155
13,State,Kerala,517
14,State,Madhya Pradesh,1091
15,State,Maharashtra,7549
16,State,Manipur,50
17,State,Meghalaya,19
18,State,Mizoram,8
19,State,Nagaland,3
20,State,Orissa,934
21,State,Punjab,997
22,State,Rajasthan,1084
23,State,Sikkim,17
24,State,Tamil Nadu,2694
25,State,Tripura,0
26,State,Uttar Pradesh,2126
27,State,Uttarakhand,238
28,State,West Bengal,5560
State,State,Total (States),35227
29,Union Territory,A & N Islands,0
30,Union Territory,Chandigarh,77
31,Union Territory,D & N Haveli,3
32,Union Territory,Daman & Diu,19
33,Union Territory,Delhi,2174
34,Union Territory,Lakshadweep,0
35,Union Territory,Puducherry,168
Union Territory,Union Territory,Total (UTs),2441
Total (All India),Total (All India),Total (All India),37668
