Sl. No.,Category,States/ UTs,Total No. of Cases for Trial Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases Compounded or Withdrawn,No. of Cases in Which Trials Completed - Convicted,No. of Cases in Which Trials Completed - Acquitted or Discharged,No. of Cases in Which Trials Completed - Total,No. of Cases - Pending Trial at the end of the year,Pendency Percentage,Percentage of Pendency to All India Total,Conviction Rate
1,State,Andhra Pradesh,1333,0,14,40,360,400,919,68.9,5.9,10
2,State,Arunachal Pradesh,216,0,0,0,0,0,216,100,1.4,NA
3,State,Assam,151,0,0,4,16,20,131,86.8,0.8,20
4,State,Bihar,180,0,4,2,18,20,156,86.7,1,10
5,State,Chhattisgarh,2048,2,60,159,335,494,1494,72.9,9.6,32.2
6,State,Goa,1,0,0,0,1,1,0,0,0,0
7,State,Gujarat,1837,0,6,8,253,261,1570,85.5,10.1,3.1
8,State,Haryana,0,0,0,0,0,0,0,NA,0,NA
9,State,Himachal Pradesh,14,0,0,1,2,3,11,78.6,0.1,33.3
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,NA,0,NA
11,State,Jharkhand,650,0,41,16,80,96,513,78.9,3.3,16.7
12,State,Karnataka,864,2,1,5,184,189,674,78,4.3,2.6
13,State,Kerala,254,0,1,4,37,41,212,83.5,1.4,9.8
14,State,Madhya Pradesh,4967,1,142,504,753,1257,3568,71.8,23,40.1
15,State,Maharashtra,2050,0,1,26,199,225,1824,89,11.7,11.6
16,State,Manipur,0,0,0,0,0,0,0,NA,0,NA
17,State,Meghalaya,1,0,0,0,0,0,1,100,0,NA
18,State,Mizoram,0,0,0,0,0,0,0,NA,0,NA
19,State,Nagaland,0,0,0,0,0,0,0,NA,0,NA
20,State,Orissa,2450,0,0,37,199,236,2214,90.4,14.3,15.7
21,State,Punjab,0,0,0,0,0,0,0,NA,0,NA
22,State,Rajasthan,2239,0,19,192,252,444,1776,79.3,11.4,43.2
23,State,Sikkim,15,0,0,5,3,8,7,46.7,0,62.5
24,State,Tamil Nadu,64,0,0,0,8,8,56,87.5,0.4,0
25,State,Tripura,29,0,0,3,13,16,13,44.8,0.1,18.8
26,State,Uttar Pradesh,103,0,0,9,5,14,89,86.4,0.6,64.3
27,State,Uttarakhand,14,0,0,3,0,3,11,78.6,0.1,100
28,State,West Bengal,28,0,0,0,2,2,26,92.9,0.2,0
State,State,Total (States),19508,5,289,1018,2720,3738,15481,79.4,99.7,27.2
29,Union Territory,A & N Islands,23,0,0,0,0,0,23,100,0.1,NA
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,NA,0,NA
31,Union Territory,D & N Haveli,21,0,0,0,4,4,17,81,0.1,0
32,Union Territory,Daman & Diu,2,0,0,0,0,0,2,100,0,NA
33,Union Territory,Delhi,1,0,0,0,0,0,1,100,0,NA
34,Union Territory,Lakshadweep,1,0,0,0,0,0,1,100,0,NA
35,Union Territory,Puducherry,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Union Territory,Total (UTs),48,0,0,0,4,4,44,91.7,0.3,0
Total (All India),Total (All India),Total (All India),19556,5,289,1018,2724,3742,15525,79.4,100,27.2
