Sl. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial (Col. 4) - Compounded or Withdrawn,Percentage of Cases to Total Cases for Trial No. of Cases in which Trials Completed (Col. 5) - Convicted,Percentage of Cases to Total Cases for Trial No. of Cases in which Trials Completed (Col. 6) - Acquitted or Discharged,Percentage of Cases to Total Cases for Trial No. of Cases in which Trials Completed (Col. 7) - Total = Col. {(5) + (6)},Percentage of Cases to Total Cases for Trial (Col. 8) - Pending Trial at the end of the year,Conviction Rate (Col. 9) = Col. (5 / 7 ×100)
1,Infanticide (Sec.315 IPC),0,0,9.8,13.2,23,77,42.6
2,"Murder (Sec.302, 303 IPC)",0,0.1,7.9,9.5,17.3,82.5,45.3
3,Rape (Sec.376 IPC),0,0,5.6,11.9,17.5,82.4,31.8
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",0,0.5,5.4,10.5,15.9,83.6,34.2
5,"Foeticide (Sec.315,316 IPC)",0,0.9,9,14.4,23.4,75.7,38.5
6,Abetment of Suicide (Sec.305 IPC),1,3.9,4.9,16.5,21.4,74.8,22.7
7,Exposure And Abandonment (Sec. 317 IPC),1.9,0.1,1.1,9.2,10.4,89.5,11
8,Procuration Minor Girls (Sec. 366a IPC),0,0.7,3.1,10.6,13.7,85.6,22.8
9,Buying of Girls for Prost. (Sec.373 IPC),0,0,1,12,13,87,7.7
10,Seling of Girls for Prost. (Sec.372 IPC),0,0.7,1.4,8.1,9.5,89.9,14.3
11,"Child Marriage Restraint Act, 1978",0,0.2,3.9,11.5,15.3,84.5,25.3
12,Other Crime,0,3,7.4,11.8,19.2,77.8,38.6
Total,Total,0,1.2,6.3,11.2,17.5,81.3,35.7
