Sl. No.,Year,Estimated Mid-Year Population (In Lakhs)*,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes,Note of Incidence - SLL
1,1998,9709,1778815,4403288,6182103,183.2,453.5,636.7,28.8,NA
2,1999,9866,1764629,3147101,4911730,178.9,319,497.8,35.9,NA
3,2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3,NA
4,2001,10270,1769308,3575230,5344538,172.3,348.1,520.4,33.1,#
5,2002,10506,1780330,3746198,5526528,169.5,356.6,526,32.2,NA
6,2003,10682,1716120,3778694,5494814,160.7,353.7,514.4,31.2,NA
7,2004,10856,1832015,4196766,6028781,168.8,386.6,555.3,30.4,NA
8,2005,11028,1822602,3203735,5026337,165.3,290.5,455.8,36.3,##
9,2006,11198,1878293,3224167,5102460,167.7,287.9,455.7,36.8,NA
10,2007,11366,1989673,3743734,5733407,175.1,329.4,504.5,34.7,NA
11,2008,11531,2093379,3844725,5938104,181.5,333.4,515,35.3,@
12,Percentage Change in 2008 over 1998,18.8,17.7,-12.7,-3.9,-0.9,-26.5,-19.1,22.5,NA
13,Compound Growth Rate Per Annum,1.8,1.4,-0.2,0.3,-0.3,-2,-1.4,1.1,NA
