Sl. No.,Category,States/ UTs,Incidence,Percentage Contribution to All India Total,Estimated Mid Year Population (In Lakhs) #,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,750,13.4,824.61,0.9,8,3
2,State,Arunachal Pradesh,63,1.1,12.04,5.2,1,13
3,State,Assam,130,2.3,300.79,0.4,12,10
4,State,Bihar,99,1.8,943.06,0.1,17,12
5,State,Chhattisgarh,614,11,237.74,2.6,3,4
6,State,Goa,1,0,16.44,0.1,18,22
7,State,Gujarat,223,4,566.65,0.4,14,9
8,State,Haryana,0,0,238.9,0,NA,NA
9,State,Himachal Pradesh,0,0,65.71,0,NA,NA
10,State,Jammu & Kashmir,0,0,125.02,0,NA,NA
11,State,Jharkhand,231,4.1,301.44,0.8,9,8
12,State,Karnataka,400,7.2,576.02,0.7,11,6
13,State,Kerala,106,1.9,343.4,0.3,15,11
14,State,Madhya Pradesh,1071,19.2,696.83,1.5,6,1
15,State,Maharashtra,268,4.8,1073.47,0.2,16,7
16,State,Manipur,1,0,26.37,0,19,21
17,State,Meghalaya,0,0,25.47,0,NA,NA
18,State,Mizoram,0,0,9.84,0,NA,NA
19,State,Nagaland,0,0,21.96,0,NA,NA
20,State,Orissa,508,9.1,400.33,1.3,7,5
21,State,Punjab,0,0,266.89,0,NA,NA
22,State,Rajasthan,1038,18.6,649.94,1.6,5,2
23,State,Sikkim,12,0.2,5.96,2,4,17
24,State,Tamil Nadu,14,0.3,665.76,0,20,16
25,State,Tripura,14,0.3,35.24,0.4,13,15
26,State,Uttar Pradesh,9,0.2,1920.49,0,22,19
27,State,Uttarakhand,0,0,95.43,0,NA,NA
28,State,West Bengal,17,0.3,882.07,0,21,14
State,State,Total (states),5569,99.8,11327.87,0.5,NA,NA
29,Union Territory,A & N Islands,3,0.1,4.15,0.7,10,20
30,Union Territory,Chandigarh,0,0,10.71,0,NA,NA
31,Union Territory,D & N Haveli,10,0.2,2.65,3.8,2,18
32,Union Territory,Daman & Diu,0,0,1.89,0,NA,NA
33,Union Territory,Delhi,0,0,172.5,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0.69,0,NA,NA
35,Union Territory,Puducherry,0,0,10.8,0,NA,NA
Union Territory,Union Territory,Total (UTs),13,0.2,203.39,0.1,NA,NA
Total (All India),Total (All India),Total (All India),5582,100,11531.3,0.5,NA,NA
