Sl. No. (Col.1),Category (Col.2),States/ UTs (Col.3),Total No. of Cases for Investigation Including Pending Cases from previous year (Col.4),Cases Withdrawn by Govt. (Col.5),No. of Cases in which Investigation Refused (Col.6),No. of Cases in which Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc. (Col.7),No. of Cases in which Investigation was Completed - Final Report True Submitted (Col.8),No. of Cases in which Investigation was Completed - Charge Sheets Submitted (Col.9),No. of Cases in which Investigation was Completed - Total (Col.10) = Col.{(7) + (8) + (9) },No. of Cases Pending Investigation at the end of the year (Col.11),Pendency Percentage (Col.12),Percentage of Pendency to All India Total (Col.13),Charge Sheeting Rate (Col.14) = {(Col.9) / (Col.8+9) × 100}
1,State,Andhra Pradesh @,253893,0,14,1198,672,245760,247630,6249,2.5,2.8,99.7
2,State,Arunachal Pradesh,140,0,0,0,26,52,78,62,44.3,0,66.7
3,State,Assam,7385,0,76,155,609,1385,2149,5160,69.9,2.3,69.5
4,State,Bihar,20511,0,0,467,869,7567,8903,11608,56.6,5.2,89.7
5,State,Chhattisgarh,247451,0,133,12,47,246766,246825,493,0.2,0.2,100
6,State,Goa,2887,0,0,2,189,2345,2536,351,12.2,0.2,92.5
7,State,Gujarat,220211,0,5,57,375,199391,199823,20383,9.3,9.1,99.8
8,State,Haryana,24632,0,0,527,255,22362,23144,1488,6,0.7,98.9
9,State,Himachal Pradesh,5119,0,0,67,163,3743,3973,1146,22.4,0.5,95.8
10,State,Jammu & Kashmir,3459,0,0,56,187,1538,1781,1678,48.5,0.7,89.2
11,State,Jharkhand,6024,0,1,78,406,2496,2980,3043,50.5,1.4,86
12,State,Karnataka,22768,23,201,433,425,18768,19626,2918,12.8,1.3,97.8
13,State,Kerala,146770,0,0,118,6445,132387,138950,7820,5.3,3.5,95.4
14,State,Madhya Pradesh,184751,0,10641,5,312,173575,173892,218,0.1,0.1,99.8
15,State,Maharashtra,169437,2,608,435,1440,116260,118135,50692,29.9,22.7,98.8
16,State,Manipur,3280,0,0,0,186,65,251,3029,92.3,1.4,25.9
17,State,Meghalaya,646,0,0,0,39,104,143,503,77.9,0.2,72.7
18,State,Mizoram,712,0,0,0,1,670,671,41,5.8,0,99.9
19,State,Nagaland,529,0,0,0,22,343,365,164,31,0.1,94
20,State,Orissa,21066,7,8,174,125,10672,10971,10080,47.8,4.5,98.8
21,State,Punjab,29296,0,0,209,380,21031,21620,7676,26.2,3.4,98.2
22,State,Rajasthan,41070,0,1,3280,1141,35776,40197,872,2.1,0.4,96.9
23,State,Sikkim,272,0,0,0,8,71,79,193,71,0.1,89.9
24,State,Tamil Nadu,550835,2154,5492,47915,166864,268816,483595,59594,10.8,26.6,61.7
25,State,Tripura,294,0,0,0,22,212,234,60,20.4,0,90.6
26,State,Uttar Pradesh,1909718,0,0,1253,22006,1878264,1901523,8195,0.4,3.7,98.8
27,State,Uttarakhand,150082,0,0,5,75,149454,149534,548,0.4,0.2,99.9
28,State,West Bengal,13703,0,5,56,932,5214,6202,7496,54.7,3.4,84.8
State,State,Total (States),4036941,2186,17185,56502,204221,3545087,3805810,211760,5.2,94.6,94.6
29,Union Territory,A & N Islands,5919,0,0,0,10,5156,5166,753,12.7,0.3,99.8
30,Union Territory,Chandigarh,937,0,0,54,10,518,582,355,37.9,0.2,98.1
31,Union Territory,D & N Haveli,24,0,0,0,1,9,10,14,58.3,0,90
32,Union Territory,Daman & Diu,25,0,0,0,0,10,10,15,60,0,100
33,Union Territory,Delhi,18725,23,2,8,38,7885,7931,10769,57.5,4.8,99.5
34,Union Territory,Lakshadweep,18,0,0,0,0,18,18,0,0,0,100
35,Union Territory,Puducherry,1146,0,12,7,9,1041,1057,77,6.7,0,99.1
Union Territory,Union Territory,Total (UTs),26794,23,14,69,68,14637,14774,11983,44.7,5.4,99.5
Total (All India),Total (All India),Total (All India),4063735,2209,17199,56571,204289,3559724,3820584,223743,5.5,100,94.6
