Sl. No.,Crime Head,Cases Withdrawn by Govt.,Percentage of Cases to Total Cases for Investigation in which Investigation Refused,Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Charge Found False / Mistake of Fact or Law Etc.,Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Chargesheets Submitted,Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Total,No. of Cases Pending Investigation at the end of the year,Chargesheeting Rate
1,"Murder (Sec. 302,303 IPC)",0,0,2.9,1.2,62.4,66.5,33.5,98.1
2,Rape (Sec.376 IPC),0,0.4,4.8,2,70.1,77,22.6,97.2
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0,8.1,3.7,44.9,56.6,43.4,92.4
4,Dacoity (Sec.395-398 IPC),0,0,13.6,9.1,50,72.7,27.3,84.6
5,"Robbery (392-394, 397,398 IPC)",0,0,7.4,7.4,37,51.9,48.1,83.3
6,"Arson (Sec.435, 436, 438 IPC)",0,0,16.9,6.8,61,84.7,15.3,90
7,"Hurt (Sec.323-333, 335-338 IPC)",0,0.3,8.8,2.7,65.7,77.3,22.4,96
8,"PCR Act, 1955 For SCs",0,5.9,0,52.9,11.8,64.7,29.4,18.2
9,"SC/ST Prev. of Atrocities Act, 1989 For SCs",0,0.4,12.8,3,43.9,59.7,39.9,93.6
10,Other Crime against STs,0.2,0.3,19.8,1.7,58.1,79.6,20,97.2
11,Total,0.1,0.3,14.3,2.4,57,73.7,25.9,96
