Crime Head,Incidence - 1998,Rate of crime - 1998,Incidence - 2003,Rate of crime - 2003,Incidence - 2004,Rate of crime - 2004,Incidence - 2005,Rate of crime - 2005,Incidence - 2006,Rate of crime - 2006,Incidence - 2007,Rate of crime - 2007,Quinquennial Avg.2003-2007 (q.a),Quinquennial Avg.2003-2007 (q.a) - Rate Of Crime,Incidence - 2008,Rate of Crime - 2008,Percentage Change in 2008[(+) Increase/(-) Decrease] over - 1998,Percentage Change in 2008[(+) Increase/(-) Decrease] over - Q.a,Percentage Change in 2008[(+) Increase/(-) Decrease] over - 2007,Note of Incidence - 1998,Note of Incidence - 2003
Murder (Sec.302 & 303 IPC),38584,4,32716,3.1,33608,3.1,32719,3,32481,2.9,32318,2.8,32768,3,32766,2.8,-15.1,0,1.4,NA,NA
Attempt To Commit Murder (Sec. 307 IPC),30577,3.1,25942,2.4,27890,2.6,28031,2.5,27230,2.4,27401,2.4,27299,2.5,28598,2.5,-6.5,4.8,4.4,NA,NA
"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",3681,0.4,4029,0.4,3935,0.4,3578,0.3,3535,0.3,3644,0.3,3744,0.3,3863,0.3,4.9,3.2,6,NA,NA
Rape (Sec. 376 IPC) - Total,15151,1.6,15847,1.5,18233,1.7,18359,1.7,19348,1.7,20737,1.8,18505,1.7,21467,1.9,41.7,16,3.5,NA,NA
Rape (Sec. 376 IPC) - (i) Custodial Rape,NA,NA,0,0,2,0,7,0,2,0,1,0,2,0,0,0,NA,-100,-100,*,@
Rape (Sec. 376 IPC) - (ii) Other Rape,NA,NA,15847,1.5,18231,1.7,18352,1.7,19346,1.7,20736,1.8,18502,1.7,21467,1.9,NA,16,3.5,*,NA
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",23520,2.4,19992,1.9,23327,2.1,22832,2.1,23991,2.1,27561,2.4,23541,2.1,30261,2.6,28.7,28.5,9.8,NA,NA
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) Of Women & Girls",16351,1.7,13296,1.2,15578,1.4,15750,1.4,17414,1.6,20416,1.8,16491,1.5,22939,2,40.3,39.1,12.4,NA,NA
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) Of Others",7169,0.7,6696,0.6,7749,0.7,7082,0.6,6577,0.6,7145,0.6,7050,0.6,7322,0.6,2.1,3.9,2.5,NA,NA
Dacoity (Sec.395-398 IPC),8091,0.8,5303,0.5,5311,0.5,5141,0.5,4747,0.4,4579,0.4,5016,0.5,4530,0.4,-44,-9.7,-1.1,NA,NA
Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),1266,0.1,2302,0.2,2340,0.2,2834,0.3,3129,0.3,3205,0.3,2762,0.2,3217,0.3,154.1,16.5,0.4,NA,NA
"Robbery (Sec.392-394, 397,398 IPC)",23603,2.4,17512,1.6,18458,1.7,17673,1.6,18456,1.6,19136,1.7,18247,1.7,20522,1.8,-13.1,12.5,7.2,NA,NA
"Burglary (Sec.449-452,454,455,457-460 IPC)",119260,12.3,92827,8.7,92490,8.5,90108,8.2,91666,8.2,91218,8,91662,8.3,93742,8.1,-21.4,2.3,2.8,NA,NA
Theft (Sec.379 - 382 IPC) - Total,287967,29.7,245237,23,273045,25.2,273111,24.8,274354,24.5,285043,25.1,270158,24.5,316761,27.5,10,17.3,11.1,NA,NA
Theft (Sec.379 - 382 IPC) - (i) Auto Theft,NA,NA,69307,6.5,80682,7.4,85709,7.8,90951,8.1,100255,8.8,85381,7.7,120032,10.4,NA,40.6,19.7,*,NA
Theft (Sec.379 - 382 IPC) - (ii) Other Theft,NA,NA,175930,16.5,192363,17.7,187402,17,183403,16.4,184788,16.3,184777,16.8,196729,17.1,NA,6.5,6.5,*,NA
"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",90767,9.3,57334,5.4,59971,5.5,56235,5.1,56641,5.1,59915,5.3,58019,5.3,66018,5.7,-27.3,13.8,10.2,NA,NA
Criminal Breach Of Trust (Sec.406-409 IPC),16157,1.7,13432,1.3,14176,1.3,13572,1.2,13636,1.2,15531,1.4,14069,1.3,16487,1.4,2,17.2,6.2,NA,NA
"Cheating (Sec.419,420 IPC)",38271,3.9,47478,4.4,51939,4.8,53625,4.9,58076,5.2,65326,5.7,55289,5,66579,5.8,74,20.4,1.9,NA,NA
"Counterfeiting (Sec.231-254, 489a-489d IPC)",1353,0.1,2055,0.2,1529,0.1,2383,0.2,2169,0.2,2204,0.2,2068,0.2,2991,0.3,121.1,44.6,35.7,NA,NA
"Arson (Sec.435,436,438 IPC)",12913,1.3,9365,0.9,8637,0.8,8451,0.8,8480,0.8,9024,0.8,8791,0.8,9249,0.8,-28.4,5.2,2.5,NA,NA
"Hurt (Sec.323-333,335-338 IPC)",235870,24.3,261444,24.5,276868,25.5,270861,24.6,264748,23.6,273067,24,269398,24.4,284969,24.7,20.8,5.8,4.4,NA,NA
Dowry Deaths (Sec.304b IPC),6975,0.7,6208,0.6,7026,0.6,6787,0.6,7618,0.7,8093,0.7,7146,0.6,8172,0.7,17.2,14.4,1,NA,NA
Molestation (Sec. 354 IPC),30959,3.2,32939,3.1,34567,3.2,34175,3.1,36617,3.3,38734,3.4,35406,3.2,40413,3.5,30.5,14.1,4.3,NA,NA
Sexual Harassment (Sec.509 IPC),8053,0.8,12325,1.2,10001,0.9,9984,0.9,9966,0.9,10950,1,10645,1,12214,1.1,51.7,14.7,11.5,NA,NA
Cruelty By Husband And Relatives (Sec. 498a IPC),41375,4.3,50703,4.7,58121,5.4,58319,5.3,63128,5.6,75930,6.7,61240,5.5,81344,7.1,96.6,32.8,7.1,NA,NA
Importation Of Girls (Sec.366b IPC),NA,NA,46,0,89,0,149,0,67,0,61,0,82,0,67,0,NA,-18.7,9.8,*,NA
Causing Death By Negligence (Sec. 304a IPC),NA,NA,60672,5.7,69423,6.4,71698,6.5,78513,7,86790,7.6,73419,6.6,92186,8,NA,25.6,6.2,*,NA
Other IPC Crimes,744422,76.7,700412,65.6,741031,68.3,741977,67.3,779697,69.6,829206,73,758465,68.7,856963,74.3,15.1,13,3.3,NA,NA
Total Cognizable Crimes Under IPC,1778815,183.2,1716120,160.7,1832015,168.8,1822602,165.3,1878293,167.7,1989673,175.1,1847741,167.5,2093379,181.5,17.7,13.3,5.2,NA,NA
