Sl. No.,Crime Head,Number of Cases Reported During - 2007,Number of Cases Reported During - 2008,Percentage Change in 2008 Over 2007
1,Arms Act,279,257,-7.9
2,Narcotic Drugs & Psychotropic Substances Act,64,66,3.1
3,Gambling Act,780,596,-23.6
4,Excise Act,528,357,-32.4
5,Prohibition Act,496,398,-19.8
6,Explosives & Explosive Substances Act,8,7,-12.5
7,Immoral Traffic (p) Act,47,22,-53.2
8,Indian Railways Act,0,4,NA
9,Registration Of Foreigners Act,26,37,42.3
10,Protection Of Civil Rights Act - Total,0,2,NA
10,Protection Of Civil Rights Act - (i) PCR Act For Scs,0,2,NA
10,Protection Of Civil Rights Act - (ii) PCR Act For Sts,0,0,NA
11,Indian Passport Act,16,8,-50
12,Essential Commodities Act,13,9,-30.8
13,Terrorist & Disruptive Activities Act,0,0,NA
14,Antiquities & Art Treasures Act,0,0,NA
15,Dowry Prohibition Act,46,6,-87
16,Child Marriage Restraint Act,2,3,50
17,Indecent Representation Of Women (p) Act,0,0,NA
18,Copyright Act,23,23,0
19,Sati Prevention Act,0,0,NA
20,SC/ST (prevention Of Atrocities) Act - Total,52,45,-13.5
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,37,43,16.2
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,15,2,-86.7
21,Forest Act,0,1,NA
22,Other Sll Crimes,1783,1315,-26.2
23,Total Cognizable Crimes Under SLL,4163,3156,-24.2
