Sl. No.,Crime Head,Total No. of Cases for Investigation Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases in which Investigation Refused,No. of Cases in which Investigation Completed - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in which Investigation Completed - Final Report True Submitted,No. of Cases in which Investigation Completed - Charge Sheets Submitted,No. of Cases in which Investigation Completed - Total,No. of Cases Pending Investigation at the end of the year
1,"Murder (Sec. 302,303 IPC)",170,0,0,5,2,106,113,57
2,Rape (Sec.376 IPC),743,0,3,36,15,521,572,168
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",136,0,0,11,5,61,77,59
4,Dacoity (Sec.395-398 IPC),22,0,0,3,2,11,16,6
5,"Robbery (392-394, 397,398 IPC)",27,0,0,2,2,10,14,13
6,"Arson (Sec.435, 436, 438 IPC)",59,0,0,10,4,36,50,9
7,"Hurt (Sec.323-333, 335-338 IPC)",1097,0,3,97,30,721,848,246
8,"PCR Act, 1955 For SCs",17,0,1,0,9,2,11,5
9,"SC/ST Prev. of Atrocities Act, 1989 For SCs",1615,0,6,207,48,709,964,645
10,Other Crime against STs,3317,6,9,657,56,1927,2640,662
11,TOTAL,7203,6,22,1028,173,4104,5305,1870
