Sl. No.,Place of Occurrence,Dacoity (Section 395-398 IPC) - Number,Dacoity (Section 395-398 IPC) - Value,"Robbery (Section 392-394, 397, 398 IPC) - Number","Robbery (Section 392-394, 397, 398 IPC) - Value","Burglary (Section 449-452, 454, 455, 457-460 IPC) - Number","Burglary (Section 449-452, 454, 455, 457-460 IPC) - Value",Theft (Section 379-382 IPC) - Number,Theft (Section 379-382 IPC) - Value
1,Residential Premises,1562,2103.2,2884,1642.5,60971,22866.2,77247,29973.9
2,Highway,690,2367.9,3685,3996.6,117,25.1,13181,4691.7
3,River & Sea,10,4.3,28,15.9,4,2.7,253,133.9
4,Railways - Total,107,55.3,319,61.5,20,8.3,12629,2809.9
4,Railways - (i) Running Trains,87,34.5,167,27.1,2,2.5,6669,1816.7
4,Railways - (ii) Other Railways,20,20.8,152,34.4,18,5.8,5960,993.2
5,Banks,43,607.8,75,306,334,1084.3,253,350.2
6,Commercial Establishments,311,2010.5,1044,963.6,14818,8936.2,30885,12443.7
7,Other Places,1807,3694.1,12487,14013.9,17478,10665.5,182313,75495.7
8,Total,4530,10843.2,20522,21000,93742,43588.2,316761,125898.9
