Sl. No.,Crime Head,Total No. Persons under Arrest Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - Number,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - Number,Persons under Investigation at the end of the Year - Percentage to Total
1,Infanticide (Sec.315 IPC),141,11,7.8,104,73.8,26,18.4
2,"Murder (Sec.302, 303 IPC)",2352,111,4.7,1701,72.3,540,23
3,Rape (Sec.376 IPC),7733,263,3.4,5870,75.9,1600,20.7
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",10095,938,9.3,6753,66.9,2404,23.8
5,"Foeticide (Sec.315,316 IPC)",61,1,1.6,37,60.7,23,37.7
6,Abetment of Suicide (Sec.305 IPC),38,0,0,22,57.9,16,42.1
7,Exposure And Abandonment (Sec. 317 IPC),190,14,7.4,137,72.1,39,20.5
8,Procuration Minor Girls (Sec. 366a IPC),444,14,3.2,277,62.4,153,34.5
9,Buying of Girls for Prost. (Sec.373 IPC),68,1,1.5,52,76.5,15,22.1
10,Seling of Girls for Prost. (Sec.372 IPC),166,3,1.8,63,38,100,60.2
11,"Child Marriage Restraint Act, 1978",349,3,0.9,294,84.2,52,14.9
12,Other Crime,9739,261,2.7,7989,82,1489,15.3
Total,Total,31376,1620,5.2,23299,74.3,6457,20.6
