Crime Head,2004,2005,2006,2007,2008
Murder (Sec.302 & 303 IPC),1.8,1.8,1.7,1.6,1.6
Attempt To Commit Murder (Sec. 307 IPC),1.5,1.5,1.4,1.4,1.4
"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",0.2,0.2,0.2,0.2,0.2
Rape (Sec. 376 IPC) - Total,1,1,1,1,1
Rape (Sec. 376 IPC) - (i) Custodial Rape,0,0,0,0,0
Rape (Sec. 376 IPC) - (ii) Other Rape,1,1,1,1,1
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",1.3,1.3,1.3,1.4,1.4
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) Of Women & Girls",0.9,0.9,0.9,1,1.1
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) Of Others",0.4,0.4,0.4,0.4,0.3
Dacoity (Sec.395-398 IPC),0.3,0.3,0.3,0.2,0.2
Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),0.1,0.2,0.2,0.2,0.2
"Robbery (Sec.392-394, 397,398 IPC)",1,1,1,1,1
"Burglary (Sec.449-452,454,455,457-460 IPC)",5,4.9,4.9,4.6,4.5
Theft (Sec.379 - 382 IPC) - Total,14.9,15,14.6,14.3,15.1
Theft (Sec.379 - 382 IPC) - (i) Auto Theft,4.4,4.7,4.8,5,5.7
Theft (Sec.379 - 382 IPC) - (ii) Other Theft,10.5,10.3,9.8,9.3,9.4
"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",3.3,3.1,3,3,3.2
Criminal Breach Of Trust (Sec.406-409 IPC),0.8,0.7,0.7,0.8,0.8
"Cheating (Sec.419,420 IPC)",2.8,2.9,3.1,3.3,3.2
"Counterfeiting (Sec.231-254, 489a-489d IPC)",0.1,0.1,0.1,0.1,0.1
"Arson (Sec.435,436,438 IPC)",0.5,0.5,0.5,0.5,0.4
"Hurt (Sec.323-333,335-338 IPC)",15.1,14.9,14.1,13.7,13.6
Dowry Deaths (Sec.304b IPC),0.4,0.4,0.4,0.4,0.4
Molestation (Sec. 354 IPC),1.9,1.9,1.9,1.9,1.9
Sexual Harassment (Sec.509 IPC),0.5,0.5,0.5,0.6,0.6
Cruelty By Husband And Relatives (Sec. 498a IPC),3.2,3.2,3.4,3.8,3.9
Importation Of Girls (Sec.366b IPC),0,0,0,0,0
Causing Death By Negligence (Sec. 304a IPC),3.8,3.9,4.2,4.4,4.4
Other IPC Crimes,40.4,40.7,41.5,41.7,40.9
Total Cognizable Crimes Under IPC,100,100,100,100,100
