Sl. No.,Crime Head,Cases Withdrawn by Govt.,Percentage of Cases to Total Cases for Investigation in which - Investigation Refused,Percentage of Cases to Total Cases for Investigation in which - Investigation Was Completed - Charge Found False/ Mistake of Fact or Law Etc.,Percentage of Cases to Total Cases for Investigation in which - Investigation Was Completed - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in which - Investigation Was Completed - Charge Sheets Submitted,Percentage of Cases to Total Cases for Investigation in which - Investigation Was Completed - Total,Percentage of Cases Pending Investigation at the end of the year,Chargesheeting Rate
1,Murder (Sec.302 & 303 IPC),0,0.5,2.5,9.2,45.5,57.2,42.3,83.2
2,Attempt To Commit Murder (Sec. 307 IPC),0,0.7,3.1,6.7,54.4,64.2,35.1,89
3,"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",0,0,4.1,7.8,53.7,65.5,34.4,87.4
4,Rape (Sec. 376 IPC) - Total,0,0.1,5.8,3.7,56.9,66.4,33.5,93.9
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,0,0,0,0,0,0,100,NA
4,Rape (Sec. 376 IPC) - (ii) Other Rape,0,0.1,5.8,3.7,56.9,66.4,33.5,93.9
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",0.1,0.2,12.4,12.3,33.9,58.6,41.1,73.4
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) Of Women & Girls",0.1,0.1,12.3,12.2,35,59.6,40.2,74.1
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) Of Others",0.1,0.3,12.7,12.5,30.6,55.8,43.8,71
6,Dacoity (Sec.395-398 IPC),0,0.8,3.6,11.5,29.6,44.7,54.6,72
7,Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),0,0.1,0.2,1.8,53.4,55.3,44.6,96.7
8,"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,3.8,18.5,40.6,62.9,36.9,68.7
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0,2.2,40.1,28.9,71.2,28.7,41.8
10,Theft (Sec.379 - 382 IPC) - Total,0,0.1,2.4,39.2,27.8,69.4,30.4,41.5
10,Theft (Sec.379 - 382 IPC) - (i) Auto Theft,0,0.1,2.1,49.7,20.8,72.6,27.3,29.5
10,Theft (Sec.379 - 382 IPC) - (ii) Other Theft,0,0.1,2.6,33.2,31.8,67.6,32.2,48.9
11,"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",0,0.1,4.1,6.6,56.1,66.8,33.1,89.5
12,Criminal Breach Of Trust (Sec.406-409 IPC),0,0.3,6.8,14.3,34.2,55.2,44.5,70.6
13,"Cheating (Sec.419,420 IPC)",0,0.1,13.8,11.6,32.6,58,41.9,73.7
14,"Counterfeiting (Sec.231-254, 489a-489d IPC)",0,0.6,1.2,22.8,21.8,45.9,53.5,48.9
15,"Arson (Sec.435,436,438 IPC)",0,0.2,6.4,17.6,41,64.9,34.8,70
16,"Hurt (Sec.323-333,335-338 IPC)",0,0,2.9,4.5,75.2,82.6,17.3,94.3
17,Dowry Deaths (Sec.304b IPC),0,0.2,3.9,4.3,54.7,62.9,36.9,92.8
18,Molestation (Sec. 354 IPC),0,0,5.2,2.9,71.3,79.3,20.6,96.1
19,Sexual Harassment (Sec.509 IPC),0,0,2.7,2.7,80.2,85.6,14.4,96.8
20,Cruelty By Husband And Relatives (Sec. 498a IPC),0,0.1,7.2,4.1,61.2,72.6,27.3,93.7
21,Importation Of Girls (Sec.366b IPC),0,0,5,16.8,43.5,65.2,34.8,72.2
22,Causing Death By Negligence (Sec. 304a IPC),0,0.2,3.1,13.5,59.9,76.6,23.2,81.6
23,Other IPC Crimes,0,0.1,4.7,7.4,69.4,81.5,18.3,90.3
24,Total Cognizable Crimes Under IPC,0,0.1,4.4,14.3,56.2,74.9,25,79.8
